UID,irr2006,irr2007,irr2008,irr2009,irr2010,irr2011,irr2012,irr2013,irr2014,irr2015,irr2016,irr2017,irr2018
177799,0,0,0,0,0,0,0,0,0,0,0,0,0
177806,0,0,0,0,0,0,0,0,0,0,0,0,0
178579,0,0,0,0,0,0,0,0,0,0,0,0,0
179074,0,0,0,0,0,0,0,0,0,0,0,0,0
179231,0,0,0,0,0,0,0,0,0,0,0,0,0
179390,0,0,0,0,0,0,0,0,0,0,0,0,0
179888,0,0,0,0,0,0,0,0,0,0,0,0,0
180429,0,0,0,0,0,0,0,0,0,0,0,0,0
180655,1,1,1,1,1,1,1,1,1,1,1,0,1
180689,0,0,0,0,0,0,0,0,0,0,0,0,0
180738,0,0,0,0,0,0,0,0,0,0,0,0,0
180778,1,1,1,1,1,1,1,1,1,1,1,1,1
180850,0,1,1,1,1,1,1,1,1,1,1,0,1
180886,0,0,0,0,0,0,0,0,0,0,0,0,0
347501,1,1,1,1,1,1,1,1,1,1,1,1,1
347502,0,0,0,0,0,0,0,0,0,0,0,0,0
347503,0,0,0,0,0,0,0,0,0,0,0,0,0
347504,0,0,0,0,0,0,0,0,0,0,0,0,0
347505,0,1,1,1,0,1,1,1,0,1,1,1,0
347506,0,0,0,0,0,0,0,0,0,0,0,0,0
347507,0,0,0,0,0,0,0,0,0,0,0,0,0
347508,0,0,0,0,0,0,0,0,0,0,0,0,0
347509,1,0,1,1,0,1,1,0,1,1,0,1,1
347510,0,0,0,0,0,0,0,0,0,0,0,0,0
347512,0,0,0,0,0,0,0,0,0,0,0,0,0
347513,0,0,0,0,0,0,0,0,0,0,0,0,0
347514,1,1,1,1,1,1,1,1,1,1,1,1,1
347515,0,0,0,0,0,0,0,0,0,0,0,0,0
347516,1,1,1,1,1,1,1,1,1,1,1,1,1
347517,0,0,0,0,0,0,0,0,0,0,0,0,0
347518,1,1,1,1,1,1,1,1,1,1,1,1,1
347519,1,1,0,1,1,1,1,1,1,1,1,1,1
347521,0,0,0,0,0,0,0,0,0,0,0,0,0
347522,0,0,0,0,0,0,0,0,0,0,0,0,0
347523,0,0,0,0,0,0,0,0,0,0,0,0,0
347524,0,0,0,0,0,0,0,0,0,0,0,0,0
347525,0,0,0,0,0,0,0,0,0,0,0,0,0
347526,1,1,0,1,0,1,1,1,1,1,1,1,0
347528,0,0,0,0,0,0,0,0,0,0,0,0,0
347529,1,1,1,1,1,1,1,1,1,1,1,1,1
