UID,Year,CropCode,pctcov
177799,2006,24,0.954
177799,2007,61,0.851
177799,2008,24,0.95
177799,2009,61,0.985
177799,2010,24,0.986
177799,2011,1,0.992
177799,2012,4,0.958
177799,2013,4,0.954
177799,2014,61,0.977
177799,2015,24,0.987
177799,2016,1,0.98
177799,2017,1,0.992
177799,2018,1,0.951
177799,2019,1,0.964
177799,2020,1,0.972
177806,2006,520,1
177806,2007,520,0.949
177806,2008,520,0.964
177806,2009,520,0.533
177806,2010,520,1
177806,2011,520,1
177806,2012,520,1
177806,2013,520,1
177806,2014,520,1
177806,2015,520,1
177806,2016,520,1
177806,2017,520,1
177806,2018,520,1
177806,2019,520,1
177806,2020,520,1
178579,2006,520,0.626
178579,2007,520,0.766
178579,2008,520,0.883
178579,2009,520,0.941
178579,2010,520,0.808
178579,2011,520,0.892
178579,2012,520,0.9
178579,2013,520,0.885
178579,2014,520,0.916
178579,2015,520,0.885
178579,2016,520,0.885
178579,2017,520,0.872
178579,2018,520,0.872
178579,2019,520,0.872
178579,2020,520,0.872
179074,2006,61,0.79
179074,2007,24,0.68
179074,2008,1,0.85
179074,2009,61,0.868
179074,2010,24,0.894
179074,2011,1,0.886
179074,2012,61,0.841
179074,2013,24,0.91
179074,2014,4,0.821
179074,2015,61,0.818
179074,2016,24,0.85
179074,2017,4,0.886
179074,2018,61,0.758
179074,2019,24,0.926
179074,2020,4,0.845
179231,2006,24,0.843
179231,2007,24,0.794
179231,2008,61,0.889
179231,2009,24,0.938
179231,2010,24,0.916
179231,2011,1,0.9
179231,2012,1,0.782
179231,2013,1,0.357
179231,2014,24,0.9
179231,2015,61,0.943
179231,2016,24,0.934
179231,2017,1,0.95
179231,2018,61,0.923
179231,2019,24,0.938
179231,2020,1,0.942
179390,2006,24,0.763
179390,2007,1,0.772
179390,2008,1,0.879
179390,2009,61,0.782
179390,2010,24,0.777
179390,2011,1,0.95
179390,2012,61,0.787
179390,2013,24,0.812
179390,2014,1,0.755
179390,2015,61,0.836
179390,2016,24,0.956
179390,2017,1,0.92
179390,2018,61,0.908
179390,2019,24,0.925
179390,2020,1,0.916
179888,2006,61,0.896
179888,2007,61,0.863
179888,2008,24,0.872
179888,2009,4,0.887
179888,2010,61,0.899
179888,2011,24,0.893
179888,2012,24,0.804
179888,2013,4,0.858
179888,2014,61,0.901
179888,2015,24,0.914
179888,2016,1,0.912
179888,2017,1,0.912
179888,2018,61,0.903
179888,2019,24,0.933
179888,2020,1,0.936
180429,2006,24,0.787
180429,2007,520,0.334
180429,2008,1,0.948
180429,2009,61,0.793
180429,2010,24,0.804
180429,2011,1,0.868
180429,2012,61,0.728
180429,2013,24,0.933
180429,2014,1,0.879
