UID,cls2006,cls2007,cls2008,cls2009,cls2010,cls2011,cls2012,cls2013,cls2014,cls2015,cls2016,cls2017,cls2018,pctcov2006,pctcov2007,pctcov2008,pctcov2009,pctcov2010,pctcov2011,pctcov2012,pctcov2013,pctcov2014,pctcov2015,pctcov2016,pctcov2017,pctcov2018
177799,24,61,24,61,24,1,4,4,61,24,1,1,1,98.45,86.53,95.05,98.65,98.5,99.55,95.95,95.2,98.2,98.8,98.2,99.4,94.45
177806,520,520,520,520,520,520,520,520,520,520,520,520,520,100,93.33,96.92,60,100,100,100,100,100,100,100,100,100
178579,520,520,520,520,520,520,520,520,520,520,520,520,520,60,73.33,90,100,82,94,94,92,94,92,92,92,92
179074,61,24,1,61,24,1,61,24,4,61,24,4,61,80.36,67.86,86.12,87.08,90.91,90.43,84.21,91.87,82.3,81.34,86.12,90.43,77.03
179231,24,24,61,24,24,1,1,1,24,61,24,1,61,84.04,76.6,90.63,94.69,91.25,90.63,79.38,35,91.25,95.31,94.06,95.94,93.75
179390,24,1,1,61,24,1,61,24,1,61,24,1,61,80.85,76.6,90.17,81.5,82.08,95.38,81.5,83.24,75.72,86.13,96.53,91.91,94.22
179888,61,61,24,4,61,24,24,4,61,24,1,1,61,88.62,85.37,88.26,89.67,90.85,90.14,80.75,86.38,89.67,92.02,91.78,91.78,91.31
180429,24,520,1,61,24,1,61,24,1,61,24,1,61,80,35.56,95.12,79.88,80.49,88.41,73.17,93.9,89.63,92.68,93.29,93.29,89.63
180655,1,1,24,1,1,24,1,24,1,24,4,61,24,85,87.5,69.88,95.54,98.75,93.4,97.5,97.15,95.54,97.15,95.9,89.84,98.57
180689,24,1,1,61,24,1,61,24,1,61,24,1,61,61.54,87.18,83.1,79.58,80.28,90.14,72.54,90.14,88.73,87.32,89.44,85.92,84.51
180738,1,61,24,24,1,61,24,1,61,24,61,61,24,85.71,86.55,93.86,91.3,93.61,90.28,93.86,94.37,89.77,94.12,46.29,47.06,48.59
180778,24,1,1,1,1,24,24,1,24,1,24,1,1,85.64,91.79,96.7,81.86,82.16,61.02,80.66,78.71,82.16,77.51,99.1,98.2,80.21
180850,61,24,1,1,1,24,1,24,1,24,4,61,24,83.75,85.63,99.63,99.63,99.63,98.89,98.52,99.26,96.66,98.52,88.5,95.92,99.63
180886,61,24,61,24,1,61,24,61,24,4,1,1,1,81.08,89.19,88.96,92.07,92.69,90.36,93.93,87.25,92.53,90.2,93,92.07,84.29
