Year,Algorithm,irr_m3_fromNonIrr_total,irr_m3_fromPrec_total,n_fields,Irr_m3_WIMAS
2016,disalexi,8687549.7,9212937.4,343,23654075.23443979
2016,eemetric,16982578.5,41455326.6,343,23654075.23443979
2016,ensemble,11362385.5,29690911.5,343,23654075.23443979
2016,geesebal,11852008.1,16086675.2,343,23654075.23443979
2016,ptjpl,4954458.7,24041503.7,343,23654075.23443979
2016,sims,6985005,42099913.5,343,23654075.23443979
2016,ssebop,16947565.5,60550629.1,343,23654075.23443979
2017,disalexi,12268626.7,1221448.9,383,18518428.443049703
2017,eemetric,15606958,23638069.4,383,18518428.443049703
2017,ensemble,12254754,9938281,383,18518428.443049703
2017,geesebal,11276626.2,831684.8,383,18518428.443049703
2017,ptjpl,8070259.7,5580389.2,383,18518428.443049703
2017,sims,6752157.7,26858658,383,18518428.443049703
2017,ssebop,18268548.1,36426818.2,383,18518428.443049703
2018,disalexi,11511620.9,13015521.7,523,20589757.188864265
2018,eemetric,18169104.4,31158209.6,523,20589757.188864265
2018,ensemble,12629579.9,24645394.3,523,20589757.188864265
2018,geesebal,11213498.3,11916925.9,523,20589757.188864265
2018,ptjpl,7725939.5,17466216.9,523,20589757.188864265
2018,sims,5979880.9,34893133.9,523,20589757.188864265
2018,ssebop,11459493.3,49471151.8,523,20589757.188864265
2019,disalexi,9180616.6,148147.7,464,13997836.430191347
2019,eemetric,16363617.7,7736541.8,464,13997836.430191347
2019,ensemble,10514074.5,2011781,464,13997836.430191347
2019,geesebal,9763544.3,1391.7,464,13997836.430191347
2019,ptjpl,6132588.3,213648.6,464,13997836.430191347
2019,sims,6406874.3,18052638.9,464,13997836.430191347
2019,ssebop,15110823.8,20008609.3,464,13997836.430191347
2020,disalexi,9911054.8,33727716.2,560,28599029.30124685
2020,eemetric,17960936.1,70034716.2,560,28599029.30124685
2020,ensemble,11575545,55913699.8,560,28599029.30124685
2020,geesebal,12193267,44785298.9,560,28599029.30124685
2020,ptjpl,9204332.9,50470938,560,28599029.30124685
2020,sims,8374698.6,65957611,560,28599029.30124685
2020,ssebop,14590451.1,86404562.7,560,28599029.30124685
