Year,Algorithm,irr_m3_fromNonIrr_total,irr_m3_fromPrec_total,n_fields,Irr_m3_WIMAS
2016,disalexi,8687549.7,9259244.4,343,23654075.23443979
2016,eemetric,16982578.5,41545942,343,23654075.23443979
2016,ensemble,11362385.5,29781527.1,343,23654075.23443979
2016,geesebal,11852008.1,16172716.2,343,23654075.23443979
2016,ptjpl,4954458.7,24132119.1,343,23654075.23443979
2016,sims,6985005,42190529.9,343,23654075.23443979
2016,ssebop,16947565.5,60641244.2,343,23654075.23443979
2017,disalexi,12268626.7,1342334.3,383,18518428.443049703
2017,eemetric,15606958,24007936.2,383,18518428.443049703
2017,ensemble,12254754,10285117.6,383,18518428.443049703
2017,geesebal,11276626.2,924223.1,383,18518428.443049703
2017,ptjpl,8070259.7,5889309.4,383,18518428.443049703
2017,sims,6752157.7,27228732.6,383,18518428.443049703
2017,ssebop,18268548.1,36796892,383,18518428.443049703
2018,disalexi,11511620.9,12830766,523,20589757.188864265
2018,eemetric,18169104.4,30973111.7,523,20589757.188864265
2018,ensemble,12629579.9,24460295.7,523,20589757.188864265
2018,geesebal,11213498.3,11746966.4,523,20589757.188864265
2018,ptjpl,7725939.5,17281115.2,523,20589757.188864265
2018,sims,5979880.9,34708033.4,523,20589757.188864265
2018,ssebop,11459493.3,49286051.2,523,20589757.188864265
2019,disalexi,9180616.6,92002.5,464,13997836.430191347
2019,eemetric,16363617.7,7808045.2,464,13997836.430191347
2019,ensemble,10514074.5,2018563.2,464,13997836.430191347
2019,geesebal,9763544.3,887.9000000000001,464,13997836.430191347
2019,ptjpl,6132588.3,224825.8,464,13997836.430191347
2019,sims,6406874.3,18154446.5,464,13997836.430191347
2019,ssebop,15110823.8,20117481.8,464,13997836.430191347
2020,disalexi,9911054.8,34092519.3,560,28599029.30124685
2020,eemetric,17960936.1,70399516.6,560,28599029.30124685
2020,ensemble,11575545,56278500.9,560,28599029.30124685
2020,geesebal,12193267,45150101.6,560,28599029.30124685
2020,ptjpl,9204332.9,50835740.7,560,28599029.30124685
2020,sims,8374698.6,66322413.9,560,28599029.30124685
2020,ssebop,14590451.1,86769366.2,560,28599029.30124685
