Year,Algorithm,OpenETirrigationLEMA_m3
2016,disalexi,18248745.6
2016,eemetric,35393032.2
2016,ensemble,27598861.7
2016,geesebal,16360170
2016,ptjpl,23710310.2
2016,sims,45170465.7
2016,ssebop,24781709.8
2017,disalexi,4017817.2
2017,eemetric,14447037.9
2017,ensemble,5946017.5
2017,geesebal,1104041.3
2017,ptjpl,4247483.4
2017,sims,26339006.5
2017,ssebop,3349560.6
2018,disalexi,15075845.1
2018,eemetric,11010044
2018,ensemble,9565639.1
2018,geesebal,4223584.7
2018,ptjpl,7369611.6
2018,sims,25436642.8
2018,ssebop,4321415.8
2019,disalexi,101313.5
2019,eemetric,895128
2019,ensemble,51483
2019,geesebal,0
2019,ptjpl,16478.399999999998
2019,sims,8077478.4
2019,ssebop,5954
2020,disalexi,43022415.9
2020,eemetric,57825084.3
2020,ensemble,47993897.2
2020,geesebal,42776158
2020,ptjpl,46373877.5
2020,sims,62454057.3
2020,ssebop,40751698.6
