Year,Algorithm,TotalIrrigation_m3
2016,disalexi,19542042.413145278
2016,eemetric,33614027.16530495
2016,ensemble,27099791.47258426
2016,geesebal,17951775.680894468
2016,ptjpl,23612863.87473029
2016,sims,41177742.647161126
2016,ssebop,25113577.8078902
2017,disalexi,4880476.414207346
2017,eemetric,13697708.393750006
2017,ensemble,6684463.4614635995
2017,geesebal,1763015.276527967
2017,ptjpl,5007284.001446913
2017,sims,21130505.10447518
2017,ssebop,4467235.333782808
2018,disalexi,22263555.950405758
2018,eemetric,18968225.86727662
2018,ensemble,17560246.113183048
2018,geesebal,11753995.363089079
2018,ptjpl,15187924.780698618
2018,sims,30026725.104635626
2018,ssebop,11660290.017373146
2019,disalexi,2207697.268152451
2019,eemetric,4699868.242768709
2019,ensemble,1164000.959321162
2019,geesebal,10630.251945911816
2019,ptjpl,252658.90449236476
2019,sims,14980612.221506367
2019,ssebop,647214.8696376428
2020,disalexi,40166581.44181973
2020,eemetric,52688762.41719093
2020,ensemble,44012189.13232838
2020,geesebal,39697552.71988648
2020,ptjpl,42299280.288429245
2020,sims,55066233.48959637
2020,ssebop,38662032.92171521
