Year,Algorithm,OpenETirrigationLEMA_m3,OpenETirrigationLEMAPeff_m3,OpenETirrigationLEMAPeffRFadj_m3
2016,disalexi,4360655.5,17420018.8,7043971.6
2016,eemetric,14510797.5,29087167.6,11950555.1
2016,ensemble,10664073.4,25226034.1,9440002.9
2016,geesebal,4313840.2,17259073.8,9230716.6
2016,ptjpl,6865862.3,21287612,4116645.8
2016,sims,25471854.6,40174149.7,10598924
2016,ssebop,8748587.2,22787546.1,12542946.4
2017,disalexi,10541598.1,24739676.9,10535510.6
2017,eemetric,19527353.8,33837440,11585810.8
2017,ensemble,12936448.9,27242982.5,9393457.1
2017,geesebal,4525325.9,17699653,9818234.9
2017,ptjpl,11396166.6,25716804.1,6644139.3
2017,sims,30883394.5,45222191,7072018
2017,ssebop,9665898.2,23645254.8,12023169.6
2018,disalexi,33096514.2,42432955.9,13374271.1
2018,eemetric,36268513,45604241.6,13653763
2018,ensemble,29412113.5,38748055.8,11444140.8
2018,geesebal,21933467.2,31269536.2,11461617.4
2018,ptjpl,25901001.5,35236870.5,7645743.4
2018,sims,42824561.8,52160962.5,7635000.5
2018,ssebop,24122017.8,33455004.6,15821981.8
2019,disalexi,115184.9,15623380,6580575.9
2019,eemetric,255059.1,17088186.1,8613640.9
2019,ensemble,34919,13446886.3,5909443.7
2019,geesebal,0,4481226,6052749
2019,ptjpl,13312.1,12518953,3605972
2019,sims,8706453.1,36101557,6250439.3
2019,ssebop,5296.5,8269437.7,8139398.5
2020,disalexi,40736240.2,41451892.3,12317985.7
2020,eemetric,53758650.1,54474285.2,14219034.7
2020,ensemble,45122943.4,45838504.4,11577407
2020,geesebal,40608301.5,41324250.9,11165194.2
2020,ptjpl,44467964,45183505.5,9640623.8
2020,sims,58967415.7,59682876.2,9910177.3
2020,ssebop,37621754.5,38337069.8,14242945
