Year,Algorithm,OpenETirrigationLEMA_m3,OpenETirrigationLEMAPeff_m3,OpenETirrigationLEMAPeffRFadj_m3
2016,disalexi,3765918.3,14408278.7,6187291.9
2016,eemetric,12234958.9,23801678.8,10392850.1
2016,ensemble,9153097.3,20704564.9,8250256.6
2016,geesebal,3739974,14398815.2,8108067.2
2016,ptjpl,5729388.3,17196678.4,3566726.8
2016,sims,20626498.3,32226504.5,7789125.6
2016,ssebop,7875733.4,19233532.9,11128010.1
2017,disalexi,8359535.2,18625462.7,8435067.1
2017,eemetric,15194072.6,25524706.1,9538888.8
2017,ensemble,10064804,20395537.3,7568345
2017,geesebal,3793364.5,13618307.5,7925876.4
2017,ptjpl,8630237.1,18960111.8,5229914.8
2017,sims,22542689.7,32873608.2,5459861.9
2017,ssebop,7985134.1,18173924.1,9755540.5
2018,disalexi,28042511.8,35762834.2,11962542.5
2018,eemetric,30939167.7,38658778.9,12424624.4
2018,ensemble,24918818.3,32638677.9,10282986
2018,geesebal,18936241.2,26656415.8,10330813
2018,ptjpl,21647353.1,29367007.4,6799309.3
2018,sims,35362793.7,43083042.4,6748098
2018,ssebop,20850337.1,28570421.9,14047329.1
2019,disalexi,98916.4,13250121.3,5890235.8
2019,eemetric,220673.5,14778980,7797883.1
2019,ensemble,26040.7,11576778.5,5375426.2
2019,geesebal,0,4017378.4,5472246
2019,ptjpl,8340,10635623.5,3223417.5
2019,sims,7539779.9,30230360.4,5502500.9
2019,ssebop,5296.5,7437802,7374412.7
2020,disalexi,35280382.2,35873197.1,11334083.6
2020,eemetric,46781091.6,47373867.2,13398669.6
2020,ensemble,38935247.2,39527954.2,10682636.7
2020,geesebal,35043781.9,35636745.2,10211423.9
2020,ptjpl,38197634.9,38790317.1,8876638
2020,sims,50400973,50993446.5,9141661
2020,ssebop,32794688.5,33387246.7,13059584.1
