UID,Year,precip_mm
177799,2017,719.9141861796379
177799,2018,806.1498987078667
177799,2019,773.9559744358062
177799,2020,451.0854850688949
177806,2017,736.5635692507028
177806,2018,803.8752691984176
177806,2019,804.2987361133098
177806,2020,450.0910235803574
178579,2017,846.2274682775139
178579,2018,784.8910945773124
178579,2019,766.9767295956611
178579,2020,493.9082353688776
179074,2017,870.3531791210174
179074,2018,806.3792027831078
179074,2019,745.0563031196593
179074,2020,522.4885838512331
179231,2017,725.4639805366595
179231,2018,805.3916888713836
179231,2019,784.0702283283075
179231,2020,450.75399790604905
179390,2017,784.6675350263714
179390,2018,817.1194386839867
179390,2019,810.49879257977
179390,2020,461.6357189538423
179888,2017,725.4639805366595
179888,2018,805.3916888713836
179888,2019,784.0702283283075
179888,2020,450.75399790604905
180429,2017,806.5501952528953
180429,2018,836.3688965916633
180429,2019,800.8458619952202
180429,2020,466.9325134415179
180655,2017,806.5501952528953
180655,2018,836.3688965916633
180655,2019,800.8458619952202
180655,2020,466.9325134415179
180689,2017,806.5501952528953
180689,2018,836.3688965916633
180689,2019,800.8458619952202
180689,2020,466.9325134415179
180738,2017,846.2274682775139
180738,2018,784.8910945773124
180738,2019,766.9767295956611
180738,2020,493.9082353688776
180778,2017,806.5501952528953
180778,2018,836.3688965916633
180778,2019,800.8458619952202
180778,2020,466.9325134415179
180850,2017,806.5501952528953
180850,2018,836.3688965916633
180850,2019,800.8458619952202
180850,2020,466.9325134415179
180886,2017,719.9141861796379
180886,2018,806.1498987078667
180886,2019,773.9559744358062
180886,2020,451.0854850688949
347501,2017,720.3310017094016
347501,2018,732.8017807126045
347501,2019,854.582430267334
347501,2020,425.2400343605317
347502,2017,745.3734280365704
347502,2018,739.1632026171684
347502,2019,834.2540576255321
347502,2020,405.29621201500294
347503,2017,826.2233360983431
347503,2018,813.6390135586262
347503,2019,812.794861626625
347503,2020,482.42637371052984
347504,2017,775.878531692922
347504,2018,685.2954114317894
347504,2019,903.912081092596
347504,2020,392.7929004156962
347505,2017,782.3699717029929
347505,2018,708.8784070094426
347505,2019,863.1806275844574
347505,2020,395.8320652554743
