UID,Year,precip_mm
177799,2017,624.6689627170563
177799,2018,646.9445016622543
177799,2019,616.6784757018089
177799,2020,349.37510024011135
177806,2017,640.0238575935364
177806,2018,646.9445016622543
177806,2019,656.2791797339917
177806,2020,348.96914679110046
178579,2017,744.9335877418517
178579,2018,633.42983481884
178579,2019,630.2711462020874
178579,2020,396.2254174053669
179074,2017,768.4660902976989
179074,2018,652.0039402961731
179074,2019,609.3249668240546
179074,2020,421.08555664420123
179231,2017,629.7872610092163
179231,2018,646.9445016622543
179231,2019,629.8787103792032
179231,2020,349.2397824237744
179390,2017,684.3306886434555
179390,2018,662.341894853115
179390,2019,669.1707957178354
179390,2020,364.0956991448998
179888,2017,629.7872610092163
179888,2018,646.9445016622543
179888,2019,629.8787103792032
179888,2020,349.2397824237744
180429,2017,705.2811631202698
180429,2018,679.4250257492065
180429,2019,659.7665720939636
180429,2020,370.1151039004326
180655,2017,705.2811631202698
180655,2018,679.4250257492065
180655,2019,659.7665720939636
180655,2020,370.1151039004326
180689,2017,705.2811631202698
180689,2018,679.4250257492065
180689,2019,659.7665720939636
180689,2020,370.1151039004326
180738,2017,744.9335877418517
180738,2018,633.42983481884
180738,2019,630.2711462020874
180738,2020,396.2254174053669
180778,2017,705.2811631202698
180778,2018,679.4250257492065
180778,2019,659.7665720939636
180778,2020,370.1151039004326
180850,2017,705.2811631202698
180850,2018,679.4250257492065
180850,2019,659.7665720939636
180850,2020,370.1151039004326
180886,2017,624.6689627170563
180886,2018,646.9445016622543
180886,2019,616.6784757018089
180886,2020,349.37510024011135
347501,2017,627.3055265903472
347501,2018,576.3446958065033
347501,2019,703.3286523938178
347501,2020,325.59121820926663
347502,2017,651.7944823932647
347502,2018,574.9765289545059
347502,2019,681.8940149128437
347502,2020,308.11767293959855
347503,2017,722.2565077781677
347503,2018,656.6192230224609
347503,2019,667.3561161041259
347503,2020,378.8424476996064
347504,2017,684.8740511894225
347504,2018,518.6669603347777
347504,2019,742.1872096836566
347504,2020,295.2043409317732
347505,2017,689.6211330413818
347505,2018,549.3184031565984
347505,2019,697.2720423102379
347505,2020,304.974114061892
347506,2017,729.8871829986572
347506,2018,681.7057156324387
347506,2019,639.2798819899559
347506,2020,395.63549270331856
347507,2017,625.2824729919433
347507,2018,580.014872097969
347507,2019,684.1490757584571
347507,2020,342.4163876980543
347508,2017,651.9033650398254
347508,2018,533.4120238542556
347508,2019,703.4565871417522
347508,2020,315.16443216800684
347509,2017,646.0645196437836
347509,2018,644.6479697227478
347509,2019,754.3865960121154
347509,2020,404.70988847017287
347510,2017,650.1180391788482
347510,2018,674.5871094465256
347510,2019,666.676312637329
347510,2020,410.96289145350454
347512,2017,622.4060678958892
347512,2018,533.4120238542556
347512,2019,679.6536106944084
347512,2020,320.3025038868189
347513,2017,750.4854714870453
347513,2018,690.9998733758925
347513,2019,626.8488472223281
347513,2020,413.2403936982155
347514,2017,625.2824729919433
347514,2018,580.014872097969
347514,2019,684.1490757584571
347514,2020,342.4163876980543
347515,2017,705.2811631202698
347515,2018,679.7214284420013
347515,2019,659.7665720939636
347515,2020,370.1151039004326
347516,2017,652.7528468608856
347516,2018,513.2446138620377
347516,2019,695.2790884673595
347516,2020,326.48629968762395
347517,2017,681.6490033721923
347517,2018,505.9238564372062
347517,2019,695.4153062307835
347517,2020,311.00856165528296
347518,2017,646.3367050647735
347518,2018,582.3720562219619
347518,2019,663.8048975467682
347518,2020,316.77347806096077
347519,2017,685.52594332695
347519,2018,614.5000794172287
347519,2019,746.2403030395508
347519,2020,306.7024956107139
347521,2017,737.1724577903747
347521,2018,650.9097423076629
347521,2019,659.217108297348
347521,2020,384.8718915104866
347522,2017,660.6636164188385
347522,2018,564.2247415542602
347522,2019,699.9469168901443
347522,2020,299.606014406681
347523,2017,633.7249990940094
347523,2018,644.6479697227478
347523,2019,791.436566233635
347523,2020,407.34251605272294
347524,2017,671.9750323295593
347524,2018,537.621388709545
347524,2019,746.0616877913475
347524,2020,316.4573874801397
347525,2017,620.8128148555755
347525,2018,695.3568476200104
347525,2019,694.2947727918624
347525,2020,415.4951718121767
347526,2017,638.6807225227356
347526,2018,657.0811194896697
347526,2019,704.4697845935821
347526,2020,349.90017720162865
347528,2017,627.3055265903472
347528,2018,576.3446958065033
347528,2019,703.3286523938178
347528,2020,325.59121820926663
347529,2017,672.7734059572219
347529,2018,537.621388709545
347529,2019,737.8256576091051
347529,2020,309.5228827476501
347530,2017,642.346714234352
347530,2018,703.5576006889343
347530,2019,682.4834933757782
347530,2020,415.2672931283712
347531,2017,593.9883015155792
347531,2018,555.598654103279
347531,2019,737.5147440075874
347531,2020,372.4864613205194
347534,2017,766.054767036438
347534,2018,635.2723307609558
347534,2019,646.7926441073417
347534,2020,391.2089732855558
347535,2017,650.2553612232208
347535,2018,703.5576006889343
347535,2019,685.7871374130249
347535,2020,412.27355023324486
347536,2017,676.2987812519073
347536,2018,518.6669603347777
347536,2019,722.2586719810962
347536,2020,299.3275496557355
347537,2017,613.7541795730591
347537,2018,593.6988418340683
347537,2019,762.2951990962029
347537,2020,386.55581814348693
347539,2017,650.1180391788482
347539,2018,674.5871094465256
347539,2019,666.676312637329
347539,2020,410.96289145350454
347540,2017,646.3367050647735
347540,2018,571.22034471035
347540,2019,663.8048975467682
347540,2020,316.77347806096077
347541,2017,779.1205513954162
347541,2018,659.6125402791159
347541,2019,592.7447288632393
347541,2020,421.1958556741476
347542,2017,627.3055265903472
347542,2018,576.3446958065033
347542,2019,703.3286523938178
347542,2020,325.59121820926663
347543,2017,638.9814611911773
