WR_GROUP,Year,LEMA_fieldArea_m2,notLEMA_fieldArea_m2,LEMA_irrFieldArea_m2,notLEMA_irrFieldArea_m2,LEMA_fieldArea_fraction,LEMA_irrFieldArea_fraction,WRGirrigationTotal_m3,WRGirrigationLEMA_m3,WRGirrAreaReported_m2
230,2016,0,1278448.7530441738,0,722113.4736984173,0,0,208458.43354908001,0,728434.152
723,2016,0,1278778.8419962267,0,338313.763273686,0,0,124581.66738732,0,376357.6452
777,2016,0,946884.7182028936,0,326115.9150826021,0,0,210925.39725972,0,550372.4704
912,2016,0,1874525.2760067058,0,466610.2344736957,0,0,170220.49603416,0,485622.76800000004
1937,2016,0,1262621.3539424934,0,466335.08696136216,0,0,88810.69358304,0,323748.512
2023,2016,0,1192345.5104476917,0,744176.6637746835,0,0,166520.0504682,0,283279.94800000003
2297,2016,1238366.7414309487,549955.4216210118,483796.0544159956,386621.42508919333,0.6924740782262325,0.5558207019130886,209691.9154044,116551.10760557362,971245.5360000001
2393,2016,0,1663284.531746611,0,737141.9983839743,0,0,309603.94568532,0,789136.998
2420,2016,0,1904167.4437376927,0,1456400.7566441756,0,0,478590.95986416,0,1991053.3488
2425,2016,0,1023793.0559261984,0,453525.75146220915,0,0,165286.56861288002,0,1048135.8076000001
2460,2016,0,1582619.1025190696,0,581837.1903107206,0,0,122114.70367668,0,720340.4392
2500,2016,6346873.009305489,0,4194631.28174327,0,1,1,1094098.40566884,1094098.40566884,4002340.9796
2609,2016,0,618501.1424789455,0,377741.9343726442,0,0,50572.75606812,0,283279.94800000003
2621,2016,2561854.979249441,0,1998087.4504956142,0,1,1,402115.08483432,402115.08483432,2007240.7744
2700,2016,0,1271055.634013601,0,280474.338128709,0,0,126696.18986518918,0,910542.6900000001
2701,2016,0,1910195.9813710393,0,466181.3271559686,0,0,136916.48594052,0,485622.76800000004
2719,2016,0,1659384.2646294094,0,84693.82039305646,0,0,27269.38566815575,0,157827.3996
2721,2016,0,2519833.4864964033,0,1551905.6394908659,0,0,700617.69382176,0,1456868.304
2752,2016,0,1276181.7282086303,0,573257.0047843234,0,0,150484.78634904,0,489669.62440000003
2770,2016,0,2315039.6338608353,0,228704.5423213469,0,0,0,0,0
2772,2016,0,641860.8568466669,0,0,0,NA,0,NA,0
2862,2016,0,3187646.2641210672,0,1601787.6490060699,0,0,828899.80677504,0,2266239.5840000003
2940,2016,NA,NA,NA,NA,NA,NA,0,NA,0
2963,2016,0,3646619.1605240223,0,2212263.8489358537,0,0,546563.3729765515,0,2573800.6704
2964,2016,0,636775.1087941546,0,489360.8423994927,0,0,67841.5020426,0,437060.4912
3033,2016,0,2485657.7094779196,0,1602845.1380294356,0,0,256564.22590656,0,1537805.432
3092,2016,0,1212757.2023306354,0,70869.60339944247,0,0,0,0,0
3094,2016,0,632431.8239214921,0,16055.999283778167,0,0,114713.81254476,0,416826.20920000004
