WR_GROUP,Year,Algorithm,ET_m3,ETo_m3,ETr_m3,precip_m3,ET_m3_nonirr,Irrigation_m3,IrrArea_m2,WaterUse_m3,area_m2_wrg,n_irrfields,n_within_lema,n_within_buffer,CropCode_maincrop,area_m2_maincrop,n_croptypes
1,2016,disalexi,224124.9,889274.78,1263060.47,269782.28,263407.74,208458.43,728434.15,208458.43,581251.94,2,0,0,5,497333.0058944281,2
1,2016,eemetric,472141.74,889274.78,1263060.47,269782.28,484250.47,208458.43,728434.15,208458.43,581251.94,2,0,0,5,497333.0058944281,2
1,2016,ensemble,421522.41,889274.78,1263060.47,269782.28,437390.57,208458.43,728434.15,208458.43,581251.94,2,0,0,5,497333.0058944281,2
1,2016,ptjpl,353251.83,889274.78,1263060.47,269782.28,366361.89,208458.43,728434.15,208458.43,581251.94,2,0,0,5,497333.0058944281,2
1,2016,sims,379733.06,889274.78,1263060.47,269782.28,392041.82,208458.43,728434.15,208458.43,581251.94,2,0,0,5,497333.0058944281,2
1,2016,ssebop,536110.86,889274.78,1263060.47,269782.28,567289.78,208458.43,728434.15,208458.43,581251.94,2,0,0,5,497333.0058944281,2
1,2017,disalexi,201792.87,746685.83,1060771.51,339544.16,229181,178854.87,728434.15,178854.87,497333.01,1,0,0,1,497333.0058944281,1
1,2017,eemetric,412701.85,746685.83,1060771.51,339544.16,399711.51,178854.87,728434.15,178854.87,497333.01,1,0,0,1,497333.0058944281,1
1,2017,ensemble,364833.55,746685.83,1060771.51,339544.16,349152.64,178854.87,728434.15,178854.87,497333.01,1,0,0,1,497333.0058944281,1
1,2017,ptjpl,331477.42,746685.83,1060771.51,339544.16,320754.92,178854.87,728434.15,178854.87,497333.01,1,0,0,1,497333.0058944281,1
1,2017,sims,349495.8,746685.83,1060771.51,339544.16,308028.17,178854.87,728434.15,178854.87,497333.01,1,0,0,1,497333.0058944281,1
1,2017,ssebop,425791.65,746685.83,1060771.51,339544.16,417570.74,178854.87,728434.15,178854.87,497333.01,1,0,0,1,497333.0058944281,1
1,2018,disalexi,295325.66,845913.39,1193484.61,363799.78,317587.34,127048.63,728434.15,127048.63,581251.94,2,0,0,24,581251.9415076505,1
1,2018,eemetric,441716.49,845913.39,1193484.61,363799.78,419440.12,127048.63,728434.15,127048.63,581251.94,2,0,0,24,581251.9415076505,1
1,2018,ensemble,434878.36,845913.39,1193484.61,363799.78,410079.06,127048.63,728434.15,127048.63,581251.94,2,0,0,24,581251.9415076505,1
1,2018,ptjpl,390811.36,845913.39,1193484.61,363799.78,385898.98,127048.63,728434.15,127048.63,581251.94,2,0,0,24,581251.9415076505,1
1,2018,sims,392714.91,845913.39,1193484.61,363799.78,352224.15,127048.63,728434.15,127048.63,581251.94,2,0,0,24,581251.9415076505,1
1,2018,ssebop,508084.57,845913.39,1193484.61,363799.78,483447.58,127048.63,728434.15,127048.63,581251.94,2,0,0,24,581251.9415076505,1
4,2016,disalexi,174112.2,562581.63,797564.6,227246.93,157350.8,124581.67,376357.65,124581.67,367333.08,1,0,1,1,367333.07630150486,1
4,2016,eemetric,316450.1,562581.63,797564.6,227246.93,289304.18,124581.67,376357.65,124581.67,367333.08,1,0,1,1,367333.07630150486,1
4,2016,ensemble,286009.21,562581.63,797564.6,227246.93,265679.16,124581.67,376357.65,124581.67,367333.08,1,0,1,1,367333.07630150486,1
4,2016,ptjpl,242318.61,562581.63,797564.6,227246.93,234202.39,124581.67,376357.65,124581.67,367333.08,1,0,1,1,367333.07630150486,1
4,2016,sims,257390.29,562581.63,797564.6,227246.93,234105.04,124581.67,376357.65,124581.67,367333.08,1,0,1,1,367333.07630150486,1
4,2016,ssebop,365386.21,562581.63,797564.6,227246.93,340896.11,124581.67,376357.65,124581.67,367333.08,1,0,1,1,367333.07630150486,1
4,2017,disalexi,234283.34,709181.66,1009018.3,337300.69,193467.75,76475.88,376357.65,76475.88,465576.74,2,0,2,5,367333.07630150486,2
4,2017,eemetric,372167.61,709181.66,1009018.3,337300.69,355462.56,76475.88,376357.65,76475.88,465576.74,2,0,2,5,367333.07630150486,2
4,2017,ensemble,341146.79,709181.66,1009018.3,337300.69,320710.76,76475.88,376357.65,76475.88,465576.74,2,0,2,5,367333.07630150486,2
4,2017,ptjpl,297532.68,709181.66,1009018.3,337300.69,297739.99,76475.88,376357.65,76475.88,465576.74,2,0,2,5,367333.07630150486,2
4,2017,sims,318662.88,709181.66,1009018.3,337300.69,295751.52,76475.88,376357.65,76475.88,465576.74,2,0,2,5,367333.07630150486,2
4,2017,ssebop,411212.39,709181.66,1009018.3,337300.69,380330.01,76475.88,376357.65,76475.88,465576.74,2,0,2,5,367333.07630150486,2
4,2018,disalexi,301791.69,669163.39,939329.55,328643.58,246972.16,76475.88,376357.65,76475.88,465576.74,2,0,2,1,465576.73825298017,1
4,2018,eemetric,391003.32,669163.39,939329.55,328643.58,347564.67,76475.88,376357.65,76475.88,465576.74,2,0,2,1,465576.73825298017,1
