WR_GROUP,Year,Algorithm,n_irrfields,n_IrrConfHigh,area_m2_wrg,n_within_lema,n_within_buffer,n_croptypes,ET_m3,irr_m3_fromNonIrr,irr_m3_fromPrec,CropCode_maincrop,area_m2_maincrop,area_prc_maincrop,irr_m3_fromWIMAS,IrrArea_m2
1,2016,disalexi,2,1,581251.94,0,0,2,280331.45,46780.2,42361.1,5,497333.0058944281,0.8556238210481124,208458.43354908,728434.15
1,2016,eemetric,2,1,581251.94,0,0,2,437261.17,97256.2,199290.8,5,497333.0058944281,0.8556238210481124,208458.43354908,728434.15
1,2016,ensemble,2,1,581251.94,0,0,2,400263.3,70103.6,162292.9,5,497333.0058944281,0.8556238210481124,208458.43354908,728434.15
1,2016,geesebal,2,1,581251.94,0,0,2,314880.29,55256.3,76909.9,5,497333.0058944281,0.8556238210481124,208458.43354908,728434.15
1,2016,ptjpl,2,1,581251.94,0,0,2,362061.69,13721.5,124091.4,5,497333.0058944281,0.8556238210481124,208458.43354908,728434.15
1,2016,sims,2,1,581251.94,0,0,2,470663.75,25637.4,232693.4,5,497333.0058944281,0.8556238210481124,208458.43354908,728434.15
1,2016,ssebop,2,1,581251.94,0,0,2,490964.7,113094.8,252994.3,5,497333.0058944281,0.8556238210481124,208458.43354908,728434.15
1,2017,disalexi,1,1,497333.01,0,0,1,267077.77,26712,0,1,497333.0058944281,0.9999999917448232,178854.8690214,728434.15
1,2017,eemetric,1,1,497333.01,0,0,1,358542.78,53120.2,47510.7,1,497333.0058944281,0.9999999917448232,178854.8690214,728434.15
1,2017,ensemble,1,1,497333.01,0,0,1,348049.05,48772.4,37017,1,497333.0058944281,0.9999999917448232,178854.8690214,728434.15
1,2017,geesebal,1,1,497333.01,0,0,1,280371.48,36389.6,0,1,497333.0058944281,0.9999999917448232,178854.8690214,728434.15
1,2017,ptjpl,1,1,497333.01,0,0,1,337388.72,29449.2,26356.7,1,497333.0058944281,0.9999999917448232,178854.8690214,728434.15
1,2017,sims,1,1,497333.01,0,0,1,452977.37,49338.8,141945.3,1,497333.0058944281,0.9999999917448232,178854.8690214,728434.15
1,2017,ssebop,1,1,497333.01,0,0,1,388806.49,66513.9,77774.4,1,497333.0058944281,0.9999999917448232,178854.8690214,728434.15
1,2018,disalexi,2,0,581251.94,0,0,1,337355.82,NA,18597.2,24,581251.9415076505,1.0000000025937987,127048.63109796,728434.15
1,2018,eemetric,2,0,581251.94,0,0,1,441412.16,NA,122653.6,24,581251.9415076505,1.0000000025937987,127048.63109796,728434.15
1,2018,ensemble,2,0,581251.94,0,0,1,423207.48,NA,104448.9,24,581251.9415076505,1.0000000025937987,127048.63109796,728434.15
1,2018,geesebal,2,0,581251.94,0,0,1,351881.1,NA,33122.6,24,581251.9415076505,1.0000000025937987,127048.63109796,728434.15
1,2018,ptjpl,2,0,581251.94,0,0,1,397423.84,NA,78665.2,24,581251.9415076505,1.0000000025937987,127048.63109796,728434.15
1,2018,sims,2,0,581251.94,0,0,1,506188.89,NA,187430.3,24,581251.9415076505,1.0000000025937987,127048.63109796,728434.15
1,2018,ssebop,2,0,581251.94,0,0,1,507765.56,NA,189007,24,581251.9415076505,1.0000000025937987,127048.63109796,728434.15
4,2016,disalexi,1,1,367333.08,0,1,1,193981.25,18428.2,0,1,367333.07630150486,0.9999999899314944,124581.66738732,376357.65
4,2016,eemetric,1,1,367333.08,0,1,1,281930.34,42503.6,83794.6,1,367333.07630150486,0.9999999899314944,124581.66738732,376357.65
4,2016,ensemble,1,1,367333.08,0,1,1,259467.92,28363.4,61332.1,1,367333.07630150486,0.9999999899314944,124581.66738732,376357.65
4,2016,geesebal,1,1,367333.08,0,1,1,200355.95,12558.6,2220.2,1,367333.07630150486,0.9999999899314944,124581.66738732,376357.65
4,2016,ptjpl,1,1,367333.08,0,1,1,251482.84,14921.8,53347,1,367333.07630150486,0.9999999899314944,124581.66738732,376357.65
4,2016,sims,1,1,367333.08,0,1,1,314038.92,22023.3,115903.1,1,367333.07630150486,0.9999999899314944,124581.66738732,376357.65
4,2016,ssebop,1,1,367333.08,0,1,1,311622.24,42786.1,113486.5,1,367333.07630150486,0.9999999899314944,124581.66738732,376357.65
4,2017,disalexi,2,1,465576.74,0,2,2,244440.21,NA,0,5,367333.07630150486,0.788985025973387,76475.87502984,376357.65
4,2017,eemetric,2,1,465576.74,0,2,2,297618.48,NA,10468.2,5,367333.07630150486,0.788985025973387,76475.87502984,376357.65
4,2017,ensemble,2,1,465576.74,0,2,2,298549.54,NA,9770.5,5,367333.07630150486,0.788985025973387,76475.87502984,376357.65
4,2017,geesebal,2,1,465576.74,0,2,2,238949.35,NA,0,5,367333.07630150486,0.788985025973387,76475.87502984,376357.65
4,2017,ptjpl,2,1,465576.74,0,2,2,294224.17,NA,5445.1,5,367333.07630150486,0.788985025973387,76475.87502984,376357.65
4,2017,sims,2,1,465576.74,0,2,2,395063.24,NA,106284.1,5,367333.07630150486,0.788985025973387,76475.87502984,376357.65
4,2017,ssebop,2,1,465576.74,0,2,2,332008.3,NA,43229.2,5,367333.07630150486,0.788985025973387,76475.87502984,376357.65
4,2018,disalexi,2,1,465576.74,0,2,1,312550.29,54519.2,35284.7,1,465576.73825298017,0.9999999962476223,76475.87502984,376357.65
