WR_GROUP,Year,Algorithm,n_irrfields,n_IrrConfHigh,area_m2_wrg,n_within_lema,n_within_buffer,n_croptypes,ET_m3,irr_m3_fromNonIrr,irr_m3_fromPrec,CropCode_maincrop,area_m2_maincrop,area_prc_maincrop,irr_m3_fromWIMAS,IrrArea_m2
230,2016,disalexi,8,1,1765673.67,0,0,5,1162985.63,NA,442251.2,5,497333.0058944281,0.28166756651835223,208458.43354908,728434.15
230,2016,eemetric,8,1,1765673.67,0,0,5,1355386.87,NA,634652.6,5,497333.0058944281,0.28166756651835223,208458.43354908,728434.15
230,2016,ensemble,8,1,1765673.67,0,0,5,1249422.2,NA,528687.8,5,497333.0058944281,0.28166756651835223,208458.43354908,728434.15
230,2016,geesebal,8,1,1765673.67,0,0,5,1127603.7,NA,406869.5,5,497333.0058944281,0.28166756651835223,208458.43354908,728434.15
230,2016,ptjpl,8,1,1765673.67,0,0,5,1199964.18,NA,479229.9,5,497333.0058944281,0.28166756651835223,208458.43354908,728434.15
230,2016,sims,8,1,1765673.67,0,0,5,1513665.99,NA,792931.8,5,497333.0058944281,0.28166756651835223,208458.43354908,728434.15
230,2016,ssebop,8,1,1765673.67,0,0,5,1210136.92,NA,489402.6,5,497333.0058944281,0.28166756651835223,208458.43354908,728434.15
230,2017,disalexi,8,2,1765673.67,0,0,3,1241310.05,NA,140975.8,1,1401006.7483002183,0.7934686755000534,178854.8690214,728434.15
230,2017,eemetric,8,2,1765673.67,0,0,3,1318693.56,NA,217728.6,1,1401006.7483002183,0.7934686755000534,178854.8690214,728434.15
230,2017,ensemble,8,2,1765673.67,0,0,3,1251082.77,NA,149216.6,1,1401006.7483002183,0.7934686755000534,178854.8690214,728434.15
230,2017,geesebal,8,2,1765673.67,0,0,3,1022565,NA,552,1,1401006.7483002183,0.7934686755000534,178854.8690214,728434.15
230,2017,ptjpl,8,2,1765673.67,0,0,3,1266834.9,NA,164207.4,1,1401006.7483002183,0.7934686755000534,178854.8690214,728434.15
230,2017,sims,8,2,1765673.67,0,0,3,1729896.49,NA,623611.1,1,1401006.7483002183,0.7934686755000534,178854.8690214,728434.15
230,2017,ssebop,8,2,1765673.67,0,0,3,1225815.04,NA,128099.6,1,1401006.7483002183,0.7934686755000534,178854.8690214,728434.15
230,2018,disalexi,8,1,1765673.67,0,0,4,1376103.71,NA,420190.6,1,581363.1633065298,0.32925855620111827,127048.63109796,728434.15
230,2018,eemetric,8,1,1765673.67,0,0,4,1472274.58,NA,516361.5,1,581363.1633065298,0.32925855620111827,127048.63109796,728434.15
230,2018,ensemble,8,1,1765673.67,0,0,4,1322259.24,NA,366346.1,1,581363.1633065298,0.32925855620111827,127048.63109796,728434.15
230,2018,geesebal,8,1,1765673.67,0,0,4,1160000.32,NA,206195.9,1,581363.1633065298,0.32925855620111827,127048.63109796,728434.15
