WR_GROUP,Year,WaterUse_m3,Irrigation_m3,IrrArea_m2
230,2016,208458.43354908001,208458.43354908001,728434.152
723,2016,124581.66738732,124581.66738732,376357.6452
777,2016,210925.39725972,210925.39725972,550372.4704
912,2016,170220.49603416,170220.49603416,485622.76800000004
1937,2016,88810.69358304,88810.69358304,323748.512
2023,2016,166520.0504682,166520.0504682,283279.94800000003
2126,2016,NA,NA,NA
2297,2016,209691.9154044,209691.9154044,971245.5360000001
2393,2016,309603.94568532,309603.94568532,789136.998
2420,2016,478590.95986416,478590.95986416,1991053.3488
2425,2016,165286.56861288002,165286.56861288002,1048135.8076000001
2460,2016,122114.70367668,122114.70367668,720340.4392
2500,2016,1094098.40566884,1094098.40566884,4002340.9796
2609,2016,50572.75606812,50572.75606812,283279.94800000003
2621,2016,402115.08483432,402115.08483432,2007240.7744
2700,2016,134097.08099710918,126696.18986518918,910542.6900000001
2701,2016,136916.48594052,136916.48594052,485622.76800000004
2719,2016,27269.38566815575,27269.38566815575,157827.3996
2721,2016,700617.69382176,700617.69382176,1456868.304
2752,2016,150484.78634904,150484.78634904,489669.62440000003
2770,2016,0,0,0
2772,2016,0,0,0
2786,2016,NA,NA,NA
2812,2016,NA,NA,NA
2862,2016,828899.80677504,828899.80677504,2266239.5840000003
2963,2016,546563.3729765515,546563.3729765515,2573800.6704
2964,2016,67841.5020426,67841.5020426,437060.4912
3033,2016,256564.22590656,256564.22590656,1537805.432
3091,2016,NA,NA,NA
3092,2016,0,0,0
3094,2016,114713.81254476,114713.81254476,416826.20920000004
3122,2016,0,0,0
3157,2016,329339.65537044,329339.65537044,1294994.048
3180,2016,335507.06464704,335507.06464704,870074.126
3236,2016,207224.95169376,207224.95169376,809371.28
3251,2016,0,0,0
3299,2016,148017.82263840002,148017.82263840002,485622.76800000004
3343,2016,NA,NA,NA
3412,2016,176387.90531076,176387.90531076,505857.05
3424,2016,339207.510213,339207.510213,1699679.688
3453,2016,18502.227829800002,18502.227829800002,275186.2352
3480,2016,NA,NA,NA
3520,2016,172185.36205815925,172185.36205815925,485622.76800000004
3647,2016,198590.57870652,198590.57870652,408732.4964
3657,2016,498326.66954928,498326.66954928,809371.28
3662,2016,450733.0100184231,450733.0100184231,2428113.84
3712,2016,287401.27228956,287401.27228956,1517571.1500000001
3751,2016,230673.5912495033,230673.5912495033,995526.6744
3769,2016,291382.94025629055,291382.94025629055,1800851.098
3780,2016,350308.84691088,350308.84691088,2306708.148
3786,2016,276553.08912675036,276553.08912675036,971245.5360000001
3823,2016,102378.99399156,102378.99399156,222577.102
3947,2016,255330.74405124,255330.74405124,485622.76800000004
3969,2016,139383.44965116002,139383.44965116002,497763.3372
3988,2016,7400.89113192,7400.89113192,52609.133200000004
3989,2016,198590.57870652,198590.57870652,602981.6036
4024,2016,0,0,0
4062,2016,205991.46983844,205991.46983844,951011.2540000001
4065,2016,186935.99576996497,186935.99576996497,805324.4236
4076,2016,130749.07666392,130749.07666392,356123.3632
4088,2016,98743.89229069948,98743.89229069948,364217.076
4140,2016,NA,NA,NA
4166,2016,561234.2441706,561234.2441706,2144833.892
4219,2016,330413.3472110694,330413.3472110694,1011714.1
4231,2016,81409.80245112,81409.80245112,485622.76800000004
4272,2016,181321.83273204,181321.83273204,586794.1780000001
4288,2016,208458.43354908001,208458.43354908001,809371.28
4310,2016,167753.53232352,167753.53232352,696059.3008
4317,2016,156652.19562564002,156652.19562564002,505857.05
4335,2016,323172.24609384,323172.24609384,890308.408
4483,2016,280000.38115764,280000.38115764,1185728.9252
4573,2016,245462.88920868002,245462.88920868002,910542.6900000001
4583,2016,0,0,0
4593,2016,0,0,0
4605,2016,130749.07666392,130749.07666392,493716.4808
4618,2016,NA,NA,NA
4639,2016,139383.44965116002,139383.44965116002,485622.76800000004
4687,2016,112246.84883412,112246.84883412,473482.1988
4711,2016,178854.8690214,178854.8690214,505857.05
4721,2016,141850.4133618,141850.4133618,870074.126
4737,2016,518062.3792344,518062.3792344,1707773.4008
4772,2016,127048.63109796001,127048.63109796001,477529.0552
4963,2016,366344.11103004,366344.11103004,1618742.56
5012,2016,358943.21989812003,358943.21989812003,574653.6088
5061,2016,0,0,0
5080,2016,115947.29440008,115947.29440008,485622.76800000004
5147,2016,0,0,0
5151,2016,151718.26820436,151718.26820436,477529.0552
5365,2016,426784.72194072,426784.72194072,1214056.92
5367,2016,220171.19834211643,220171.19834211643,708199.87
5381,2016,108546.40326816001,108546.40326816001,299467.3736
5410,2016,NA,NA,NA
5411,2016,149251.30449372,149251.30449372,485622.76800000004
5485,2016,80176.3205958,80176.3205958,607028.46
5494,2016,909720.8027819028,909720.8027819028,2525238.3936
5536,2016,94978.10285964,94978.10285964,829605.562
5572,2016,370044.556596,370044.556596,2428113.84
5576,2016,151718.26820436,151718.26820436,485622.76800000004
5578,2016,341674.47392364003,341674.47392364003,975292.3924
5609,2016,198590.57870652,198590.57870652,489669.62440000003
5610,2016,429251.68565136,429251.68565136,1226197.4892
5651,2016,NA,NA,NA
5673,2016,60440.61091068,60440.61091068,485622.76800000004
5674,2016,191189.68757460002,191189.68757460002,651543.8804
5682,2016,524356.2857847821,524356.2857847821,1922256.79
5685,2016,259031.1896172,259031.1896172,971245.5360000001
5720,2016,133216.04037456,133216.04037456,323748.512
5755,2016,138149.96779584,138149.96779584,485622.76800000004
5758,2016,85110.24801708,85110.24801708,364217.076
5771,2016,205991.46983844,205991.46983844,809371.28
5780,2016,122114.70367668,122114.70367668,477529.0552
5829,2016,150484.78634904,150484.78634904,501810.1936
5852,2016,328106.17351512,328106.17351512,870074.126
5868,2016,241762.44364272,241762.44364272,505857.05
5928,2016,197357.0968512,197357.0968512,485622.76800000004
5956,2016,135683.0040852,135683.0040852,485622.76800000004
5957,2016,186255.76015332,186255.76015332,485622.76800000004
5958,2016,202291.02427248,202291.02427248,971245.5360000001
6004,2016,62907.574621320004,62907.574621320004,182108.538
6028,2016,87971.19412464323,87971.19412464323,469435.3424
6034,2016,187489.24200864,187489.24200864,619169.0292
6037,2016,45788.4018215403,45788.4018215403,485622.76800000004
6057,2016,138149.96779584,138149.96779584,416826.20920000004
6109,2016,138149.96779584,138149.96779584,493716.4808
6119,2016,56740.16534472,56740.16534472,242811.38400000002
6135,2016,371278.03845132,371278.03845132,930776.9720000001
6144,2016,176387.90531076,176387.90531076,343982.794
6145,2016,105197.11189325283,105197.11189325283,631309.5984
6156,2016,175154.42345544,175154.42345544,445154.204
6160,2016,70308.46575324,70308.46575324,360170.2196
6162,2016,268899.04445976,268899.04445976,930776.9720000001
6163,2016,109779.88512348,109779.88512348,485622.76800000004
6167,2016,228194.1432342,228194.1432342,505857.05
6204,2016,129515.5948086,129515.5948086,473482.1988
6277,2016,72775.42946388,72775.42946388,485622.76800000004
6325,2016,193547.604782985,193547.604782985,364217.076
6339,2016,120881.22182136,120881.22182136,485622.76800000004
6365,2016,109779.88512348,109779.88512348,323748.512
6397,2016,0,0,0
6434,2016,203524.5061278,203524.5061278,477529.0552
6460,2016,519295.86108972,519295.86108972,1104791.7972000001
6561,2016,NA,NA,NA
6589,2016,69074.98389792,69074.98389792,283279.94800000003
6650,2016,254097.26219592002,254097.26219592002,821511.8492
6681,2016,123348.185532,123348.185532,453247.9168
6686,2016,242995.92549804001,242995.92549804001,898402.1208
6696,2016,167753.53232352,167753.53232352,437060.4912
6885,2016,98678.5484256,98678.5484256,623215.8856
7029,2016,83876.76616176,83876.76616176,485622.76800000004
7048,2016,267665.56260444,267665.56260444,995526.6744
7077,2016,234570.92391496227,234570.92391496227,1011714.1
7081,2016,476123.99615352,476123.99615352,971245.5360000001
7121,2016,257797.70776188,257797.70776188,720340.4392
7477,2016,112246.84883412,112246.84883412,485622.76800000004
7568,2016,441461.64601626,441461.64601626,1942491.0720000002
7597,2016,160352.6411916,160352.6411916,485622.76800000004
7598,2016,122114.70367668,122114.70367668,485622.76800000004
7621,2016,102378.99399156,102378.99399156,230670.8148
7755,2016,92511.139149,92511.139149,404685.64
7756,2016,261472.0755913858,261472.0755913858,1651117.4112
7760,2016,112246.84883412,112246.84883412,214483.3892
7771,2016,54273.201634080004,54273.201634080004,372310.78880000004
7799,2016,151297.81060221727,151297.81060221727,582747.3216
7818,2016,133216.04037456,133216.04037456,473482.1988
7851,2016,203524.5061278,203524.5061278,1456868.304
7903,2016,135832.11165363196,135832.11165363196,477529.0552
7904,2016,107944.18887753616,107944.18887753616,445154.204
7928,2016,253210.36174813815,138149.96779584,485622.76800000004
8011,2016,266432.08074912,266432.08074912,841746.1312000001
8041,2016,284934.30857892,284934.30857892,971245.5360000001
8133,2016,256564.22590656,256564.22590656,975292.3924
8274,2016,508194.52439184004,508194.52439184004,1226197.4892
8275,2016,375844.6100975696,375844.6100975696,1982959.6360000002
8284,2016,0,0,0
8348,2016,388546.7844258,388546.7844258,1384024.8888
8349,2016,597961.3688379172,597961.3688379172,1659211.124
8375,2016,234361.55251080001,234361.55251080001,485622.76800000004
8381,2016,499560.1514046,499560.1514046,1011714.1
8382,2016,181321.83273204,181321.83273204,971245.5360000001
8403,2016,171453.97788948,171453.97788948,748668.434
8410,2016,161586.12304692,161586.12304692,453247.9168
8429,2016,297269.12713212,297269.12713212,971245.5360000001
