UID,Year,precip_mm,ETo_mm,ETr_mm
177799,2016,449.73,1545.49,2198.78
177799,2017,713.56,1519.46,2161.48
177799,2018,734.17,1479.36,2091.6
177799,2019,704.44,1367.8,1907.7
177799,2020,396.58,1603,2311.88
177799,2021,474.25,1553.82,2220.52
177806,2016,441.92,1544.9,2196.84
177806,2017,717.4,1518.1,2158.2
177806,2018,750.8,1478.8,2089.4
177806,2019,699.9,1367.6,1906.1
177806,2020,402.6,1602.2,2309.4
177806,2021,467.09999999999997,1553.3,2218.4
178579,2016,515.62,1533.9,2173.51
178579,2017,823.1,1509.2,2138.5
178579,2018,757.5,1464.7,2060
178579,2019,668.1,1356,1881.3999999999999
178579,2020,490.3,1581,2269.4
178579,2021,575.3,1539.5,2190.6
179074,2016,520.33,1533.4,2172.4
179074,2017,819.88,1508.83,2137.94
179074,2018,750.79,1464.36,2059.37
179074,2019,665.97,1355.78,1880.8600000000001
179074,2020,491.3,1580.8,2268.61
179074,2021,578.05,1539.4099999999999,2190.42
179231,2016,441.92,1544.9,2196.84
179231,2017,717.4,1518.1,2158.2
179231,2018,750.8,1478.8,2089.4
179231,2019,699.9,1367.6,1906.1
179231,2020,402.6,1602.2,2309.4
179231,2021,467.09999999999997,1553.3,2218.4
179390,2016,434.84,1538.07,2182.99
179390,2017,740.27,1510.54,2144.29
179390,2018,771.08,1473.85,2077.9900000000002
179390,2019,693.4399999999999,1363.86,1898
179390,2020,420.08,1596.1299999999999,2295.82
179390,2021,466.34000000000003,1548.64,2208.84
179888,2016,441.92,1544.9,2196.84
179888,2017,717.4,1518.1,2158.2
179888,2018,750.8,1478.8,2089.4
179888,2019,699.9,1367.6,1906.1
179888,2020,402.6,1602.2,2309.4
179888,2021,467.09999999999997,1553.3,2218.4
180429,2016,445.37,1537.65,2182.68
180429,2017,773.4,1509.1,2143.5
180429,2018,783.1,1472,2075.8
180429,2019,694,1362.9,1896
180429,2020,431.8,1593,2292.5
180429,2021,488.40000000000003,1546.8,2205.4
180655,2016,445.37,1537.65,2182.68
180655,2017,773.4,1509.1,2143.5
180655,2018,783.1,1472,2075.8
180655,2019,694,1362.9,1896
180655,2020,431.8,1593,2292.5
180655,2021,488.40000000000003,1546.8,2205.4
180689,2016,445.37,1537.65,2182.68
180689,2017,773.4,1509.1,2143.5
180689,2018,783.1,1472,2075.8
180689,2019,694,1362.9,1896
180689,2020,431.8,1593,2292.5
180689,2021,488.40000000000003,1546.8,2205.4
180738,2016,525.86,1532.5900000000001,2171.29
180738,2017,816.06,1508.09,2137
180738,2018,742.94,1463.77,2058.38
180738,2019,663.57,1355.31,1879.87
180738,2020,492.55,1580.4,2267.48
180738,2021,581.37,1539.11,2190.02
180778,2016,440.47,1537.86,2182.91
180778,2017,757.93,1509.82,2143.9
180778,2018,777.44,1472.92,2076.88
180778,2019,693.71,1363.38,1897
180778,2020,426.36,1594.56,2294.14
180778,2021,478.09999999999997,1547.72,2207.12
180850,2016,445.37,1537.65,2182.68
180850,2017,773.4,1509.1,2143.5
180850,2018,783.1,1472,2075.8
180850,2019,694,1362.9,1896
180850,2020,431.8,1593,2292.5
180850,2021,488.40000000000003,1546.8,2205.4
180886,2016,450.06,1545.58,2199.0299999999997
180886,2017,712.2,1519.46,2161.56
180886,2018,732.02,1479.51,2091.92
180886,2019,703.85,1367.82,1907.79
180886,2020,396.93,1603.15,2312.3
180886,2021,474.46,1553.84,2220.7599999999998
347501,2016,622.95,1531.22,2171.25
347501,2017,713.9,1511,2148.3
347501,2018,663.6,1434.5,2011.9
347501,2019,776.4,1363.3,1896.2
347501,2020,390.2,1568.5,2251.6
347501,2021,517.2,1524.2,2169.4
347502,2016,598.55,1478.07,2077.9700000000003
347502,2017,701,1473.9,2082.5
347502,2018,665.2,1379.5,1917.5
347502,2019,718.1999999999999,1303.7,1791.8999999999999
347502,2020,417.5,1537.3,2196.5
347502,2021,511.6,1496.3,2119.2
347503,2016,502.78,1555.11,2214.3
347503,2017,787.9,1525.1,2170.5
347503,2018,743.6,1469.1,2073.8
347503,2019,725,1369.4,1909.2
347503,2020,403.2,1588,2286.7
347503,2021,558.3000000000001,1542.2,2201.9
347504,2016,560.3199999999999,1503.15,2122.84
347504,2017,735.7,1485.9,2102.4
347504,2018,578.1,1412.3,1974.6
347504,2019,809.5,1325.4,1833.6
347504,2020,397.3,1556.3999999999999,2230.5
347504,2021,534.9,1508.2,2140.7
347505,2016,537.75,1514.76,2144.21
347505,2017,721.9399999999999,1493.25,2114.37
347505,2018,589.9399999999999,1429.62,2004.1
347505,2019,817.17,1336.75,1851.5
347505,2020,366.63,1564.83,2247.08
347505,2021,521.96,1515.86,2154.35
347506,2016,482.14,1548.78,2203.32
347506,2017,783.9,1519.2,2161.6
347506,2018,748.9,1470.4,2074.8
347506,2019,718.6,1364,1901.2
347506,2020,416.8,1591.9,2292.5
347506,2021,569.1,1544.7,2206.8
347507,2016,657.22,1488.83,2097.09
347507,2017,699.2,1491.1,2112
347507,2018,647.7,1387.1,1929.4
347507,2019,760.8,1315.3,1811.5
347507,2020,389.9,1541.3999999999999,2203.4
347507,2021,474.09999999999997,1506.7,2136.5
347508,2016,576.24,1483.76,2088.55
347508,2017,725.87,1475.21,2083.31
347508,2018,625.33,1388.62,1931.92
347508,2019,766.59,1312.31,1806.26
347508,2020,414.64,1545.44,2210.36
347508,2021,517.82,1498.67,2122.36
347509,2016,663.73,1502.47,2119.58
347509,2017,723.8,1513.1,2148.2
347509,2018,705.6999999999999,1400.8,1952.1
347509,2019,799.6,1330.5,1839.1
347509,2020,435.9,1545.7,2211
347509,2021,526.2,1517,2153.9
347510,2016,615.2,1528.67,2165.9
347510,2017,733.1,1515,2152.7
347510,2018,737.8,1427.9,2002
347510,2019,735,1366.9,1900.7
347510,2020,427,1569,2251.9
347510,2021,530.4,1527.5,2176.1
347512,2016,564.68,1476.97,2076.33
347512,2017,710.9,1471.9,2076.4
347512,2018,654.8,1378.7,1917.1
347512,2019,735.8,1305.5,1793.2
347512,2020,420.9,1538.5,2198.8
347512,2021,517.6999999999999,1494.9,2114.5
347513,2016,502.01,1553.83,2212.2
347513,2017,802,1522.2,2167.4
347513,2018,732,1469.5,2075.1
347513,2019,715,1368.6,1906.8
347513,2020,413.4,1588.8,2289
347513,2021,571.8,1542.8,2201.8
347514,2016,661.53,1498.3,2112.86
347514,2017,696.95,1497.48,2122.5099999999998
347514,2018,638.9200000000001,1395.83,1945.77
347514,2019,763.36,1324.69,1828.25
347514,2020,400.25,1548.36,2214.74
347514,2021,469.56,1511.72,2145.67
347515,2016,445.37,1537.65,2182.68
347515,2017,773.4,1509.1,2143.5
347515,2018,783.1,1472,2075.8
347515,2019,694,1362.9,1896
347515,2020,431.8,1593,2292.5
347515,2021,488.40000000000003,1546.8,2205.4
347516,2016,582.9599999999999,1477.29,2077.07
347516,2017,725.4,1469.7,2073.7000000000003
347516,2018,642.2,1381,1918.3
347516,2019,769.9,1305.9,1795.1
347516,2020,413.2,1540.5,2201.3
347516,2021,519.6,1494.3,2114.5
347517,2016,551.61,1486.8899999999999,2095.19
347517,2017,750.6,1474.6,2082.8
347517,2018,592.9,1397.6,1948.6
347517,2019,806.1,1315.4,1814
347517,2020,413.5,1548.7,2215.5
347517,2021,518.1,1497.7,2122.6
347518,2016,642.4399999999999,1488.22,2096.01
347518,2017,726.8,1488.9,2107.3
347518,2018,669.8,1386.6,1930
347518,2019,748.2,1314,1810.9
347518,2020,392.7,1542.5,2206.5
347518,2021,473.9,1505.4,2134.1
347519,2016,527.98,1526.76,2165.7200000000003
347519,2017,735.3,1500.9,2130.9
347519,2018,638.1999999999999,1441.6000000000001,2026.4
347519,2019,827.7,1344.7,1867.4
347519,2020,365.7,1571,2256.9
347519,2021,545,1522,2166.6
347521,2016,502.01,1553.83,2212.2
347521,2017,802,1522.2,2167.4
347521,2018,732,1469.5,2075.1
347521,2019,715,1368.6,1906.8
347521,2020,413.4,1588.8,2289
347521,2021,571.8,1542.8,2201.8
347522,2016,588.86,1487.29,2093.85
347522,2017,721.5,1481.5,2092.7
347522,2018,648.8,1388.2,1934
347522,2019,745.2,1314.3,1810.9
347522,2020,401,1545.3,2209.2
347522,2021,491.7,1501.5,2127.5
347523,2016,660.9,1502.8,2120.01
347523,2017,701.4,1507.2,2140.1
347523,2018,700.4,1402.8,1956.5
347523,2019,814.8,1331,1839.9
347523,2020,433.4,1546.2,2211.4
347523,2021,519.3,1513.7,2149.6
347524,2016,582.95,1521.34,2154.02
347524,2017,738.2,1499.5,2125.8
347524,2018,618.7,1428.4,2002
347524,2019,785.9,1341.4,1859.7
347524,2020,384.8,1562.9,2242.4
347524,2021,509.9,1517.1000000000001,2155
347525,2016,660.96,1514.21,2139.02
347525,2017,723,1512,2148
347525,2018,747.4,1411,1970
347525,2019,744.8,1345.8999999999999,1861.1
347525,2020,441.8,1555.1,2227.4
347525,2021,534.1,1521.3,2161.7
347526,2016,654.04,1522.79,2155.13
347526,2017,713.6,1512.7,2148.8
347526,2018,707.9,1424,1993.7
347526,2019,765.5,1353.8,1877.4
347526,2020,408,1563.6,2240.6
347526,2021,513.5,1524.2,2166.6
347528,2016,622.95,1531.22,2171.25
347528,2017,713.9,1511,2148.3
347528,2018,663.6,1434.5,2011.9
347528,2019,776.4,1363.3,1896.2
