gridmet_id,Year,ETo_mm,ETr_mm,precip_mm
561362,2006,1491.6,2110.91,545.79
561362,2007,1383.02,1913.97,494.04
561362,2008,1387.23,1947.7,605.31
561362,2009,1284.18,1769.66,675.12
561362,2010,1458.07,2053.72,612.71
561362,2011,1611.48,2321.07,612.07
561362,2012,1794.74,2627.89,326.98
561362,2013,1487.25,2119.05,411.97
561362,2014,1439.78,2043.26,476.04
561362,2015,1451.75,2038.46,528.68
561362,2016,1473.75,2073.07,547.61
561362,2017,1461.56,2062.89,712.26
561362,2018,1380.69,1921.26,691.63
561362,2019,1307.45,1800.36,808.13
561362,2020,1553.18,2223.49,355.31
561363,2006,1491.49,2110.97,554.3
561363,2007,1381.49,1911.19,494.93
561363,2008,1385.18,1943.81,609.36
561363,2009,1283.4,1768.33,671.72
561363,2010,1455.93,2050.02,599.43
561363,2011,1614.93,2326.59,616.34
561363,2012,1796,2629.53,330.39
561363,2013,1490.87,2125.13,409.87
561363,2014,1442.5,2047.73,480.85
561363,2015,1455.69,2045.13,549.75
561363,2016,1473.8,2072.56,555.21
561363,2017,1463.49,2066.47,707.04
561363,2018,1376.88,1914.22,676.34
561363,2019,1305.76,1796.54,810.67
561363,2020,1552.51,2221.48,374.46
561364,2006,1495.86,2119.06,559.99
561364,2007,1383.76,1915.14,492.68
561364,2008,1386.96,1946.76,610.46
561364,2009,1286.25,1773.43,669.38
561364,2010,1459.45,2056.24,583.35
561364,2011,1621.63,2338.04,619.73
561364,2012,1800.79,2637.68,330.54
561364,2013,1497.84,2137.39,409.18
561364,2014,1449.04,2059.15,487.9
561364,2015,1463.76,2059.32,569.91
561364,2016,1478.59,2080.61,571
561364,2017,1470.8,2077.61,707.99
561364,2018,1377.67,1916.79,668.87
561364,2019,1307.33,1799.03,778.67
561364,2020,1553.22,2224.79,389.46
561365,2006,1497.09,2121.46,567.55
561365,2007,1384.31,1915.86,489.11
561365,2008,1386.68,1946.04,614.26
561365,2009,1288.36,1777.01,673.26
561365,2010,1460.18,2057.4,576.36
561365,2011,1625.71,2344.8,621.95
561365,2012,1803.12,2641.42,330.33
561365,2013,1502.06,2144.72,410.65
561365,2014,1451.74,2063.93,493.96
561365,2015,1468.16,2067.03,569
561365,2016,1479.67,2082.17,589.83
561365,2017,1474.5,2083.12,693.92
561365,2018,1375.6,1913.48,675.8
561365,2019,1307.97,1799.88,750.13
561365,2020,1554.07,2226.03,404.87
561366,2006,1497.8,2123.51,578.51
561366,2007,1383.84,1915.53,487.33
561366,2008,1385.05,1943.62,621.59
561366,2009,1288.46,1777.69,675.09
561366,2010,1460.12,2057.76,575.97
561366,2011,1628.32,2349.55,624.71
561366,2012,1804.24,2643.51,329.75
561366,2013,1505.19,2150.72,412.09
561366,2014,1454.92,2069.94,503.24
561366,2015,1471.96,2074.23,550.83
561366,2016,1479.66,2082.41,610.63
561366,2017,1477.12,2088.42,681.35
561366,2018,1371.65,1907.48,678.36
561366,2019,1305.92,1796.24,741.51
561366,2020,1550.96,2221.35,412.33
561367,2006,1501.8,2130.88,588.48
561367,2007,1386.23,1919.8,481.39
561367,2008,1386.35,1945.79,630.02
561367,2009,1288.88,1778.71,672.24
561367,2010,1461.97,2061.22,577.75
561367,2011,1633.06,2357.77,628.52
561367,2012,1807.82,2649.6,325.31
561367,2013,1510.75,2160.68,410.75
561367,2014,1461.09,2080.83,511.87
561367,2015,1478.35,2085.63,518.17
561367,2016,1482.21,2086.83,610.16
561367,2017,1482.73,2099.44,683.35
561367,2018,1371.21,1906.96,647.77
561367,2019,1307.52,1798.45,731.52
561367,2020,1551.35,2219.17,397.29
561368,2006,1504.41,2135.86,592.88
561368,2007,1386.98,1921.39,472.87
561368,2008,1384.88,1943.45,640.46
561368,2009,1287.78,1777.25,669.89
561368,2010,1463.47,2063.98,604.16
561368,2011,1635.77,2362.57,632.51
561368,2012,1809.92,2653.23,325.98
561368,2013,1514.6,2167.77,411.03
561368,2014,1464.29,2086.82,514.11
561368,2015,1483.29,2094.59,518.08
561368,2016,1481.93,2086.62,613.61
561368,2017,1486.69,2107.14,710.12
561368,2018,1371.96,1908.15,647.45
561368,2019,1306.52,1798.93,748.66
561368,2020,1549,2217.98,390.55
562770,2006,1498.58,2121.96,533.5
562770,2007,1389.19,1924.85,489.14
562770,2008,1395.48,1962.11,590.26
562770,2009,1287.11,1774.35,680.98
562770,2010,1465.69,2066.76,550.1
562770,2011,1613.07,2323.91,603.49
562770,2012,1797.68,2633.27,322.12
562770,2013,1486.39,2117.37,426.18
562770,2014,1441.98,2046.69,495.11
562770,2015,1448.83,2032.78,536.08
562770,2016,1478.59,2081.78,523.56
562770,2017,1458.54,2057.82,683.85
562770,2018,1394.86,1945.49,652.67
562770,2019,1313.5,1812.78,773.21
562770,2020,1558.03,2232.74,355.89
562771,2006,1495.4,2116.72,534.03
562771,2007,1386.73,1920.35,487.6
562771,2008,1391.67,1955.32,595.2
562771,2009,1287.25,1774.44,677.48
562771,2010,1463.6,2062.88,574.84
562771,2011,1613.24,2323.89,606.55
562771,2012,1794.83,2627.99,324.11
562771,2013,1486.81,2117.97,419.85
562771,2014,1441.13,2045.22,487.19
562771,2015,1450.38,2035.41,524.61
562771,2016,1476.87,2078.37,535.76
562771,2017,1460.02,2059.55,703.79
562771,2018,1388.09,1934.08,670.58
562771,2019,1310.33,1806.23,798.48
562771,2020,1553.54,2224.83,362.83
562772,2006,1491.99,2111.04,539.05
562772,2007,1382.89,1913.54,486.69
562772,2008,1387.42,1947.71,603.85
562772,2009,1284.55,1769.82,673
562772,2010,1459.6,2055.76,586.79
562772,2011,1612.63,2322.6,612.39
562772,2012,1791.67,2622.17,326.86
562772,2013,1486.84,2118,412.82
562772,2014,1439.74,2042.82,483.73
562772,2015,1450.72,2036.08,530.03
562772,2016,1473.15,2071.54,540.55
562772,2017,1459.31,2058.61,715.48
562772,2018,1380.64,1920.38,673.22
562772,2019,1304.93,1795.85,811.25
562772,2020,1547.58,2214.03,371.22
562773,2006,1492.21,2111.46,549.49
562773,2007,1381.43,1910.62,485.32
562773,2008,1385.02,1943.06,607.72
562773,2009,1284.32,1769.32,668.07
562773,2010,1457.29,2051.6,586.92
562773,2011,1615.85,2327.58,617.01
562773,2012,1792.67,2623.25,330.82
562773,2013,1490.35,2123.76,410.28
562773,2014,1441.44,2045.47,487.41
562773,2015,1454.43,2042.29,558.14
562773,2016,1472.68,2070.04,557.1
562773,2017,1461.98,2062.53,712.22
562773,2018,1378.18,1914.74,652.04
