UID,Year,precip_mm,ETr_mm,ETo_mm
177799,2016,397.15,1647.4,1191.18
177799,2017,619.76,1584.3600000000001,1149.84
177799,2018,625.11,1616,1171.8
177799,2019,571.86,1540.96,1126.14
177799,2020,300.95,1772.76,1256.84
177799,2021,351.57,1682.92,1210.44
177806,2016,389.54,1646.56,1191.21
177806,2017,622.8,1582.4,1149.2
177806,2018,643.5,1614.6,1171.6000000000001
177806,2019,569.7,1540.8,1126.7
177806,2020,305.3,1771.2,1256.6
177806,2021,344.5,1681.6,1210.2
178579,2016,457.07,1634.34,1186.16
178579,2017,717.6,1573.6,1146.1
178579,2018,640.7,1592.6000000000001,1161
178579,2019,543.4,1526.6,1120
178579,2020,390.1,1744,1241.8
178579,2021,452.7,1663.2,1201.3
179074,2016,461.84,1633.8,1185.97
179074,2017,714.14,1573.29,1145.97
179074,2018,634.15,1592.19,1160.85
179074,2019,541.55,1526.28,1119.88
179074,2020,390.62,1743.48,1241.76
179074,2021,455.39,1663.19,1201.34
179231,2016,389.54,1646.56,1191.21
179231,2017,622.8,1582.4,1149.2
179231,2018,643.5,1614.6,1171.6000000000001
179231,2019,569.7,1540.8,1126.7
179231,2020,305.3,1771.2,1256.6
179231,2021,344.5,1681.6,1210.2
179390,2016,379.89,1638.42,1187.37
179390,2017,641.26,1573.1,1144.56
179390,2018,659.13,1606.39,1168.09
179390,2019,564.74,1538.19,1125.62
179390,2020,319.40999999999997,1763.46,1252.66
179390,2021,343.09,1676.8,1208.22
179888,2016,389.54,1646.56,1191.21
179888,2017,622.8,1582.4,1149.2
179888,2018,643.5,1614.6,1171.6000000000001
179888,2019,569.7,1540.8,1126.7
179888,2020,305.3,1771.2,1256.6
179888,2021,344.5,1681.6,1210.2
180429,2016,389.71,1638.82,1187.49
180429,2017,671.8,1573.2,1144.3999999999999
180429,2018,668.4,1605,1166.8
180429,2019,564.7,1536.3999999999999,1124.9
180429,2020,333.7,1761.2,1250.5
180429,2021,365.9,1674.4,1206.3
180655,2016,389.71,1638.82,1187.49
180655,2017,671.8,1573.2,1144.3999999999999
180655,2018,668.4,1605,1166.8
180655,2019,564.7,1536.3999999999999,1124.9
180655,2020,333.7,1761.2,1250.5
180655,2021,365.9,1674.4,1206.3
180689,2016,389.71,1638.82,1187.49
180689,2017,671.8,1573.2,1144.3999999999999
180689,2018,668.4,1605,1166.8
180689,2019,564.7,1536.3999999999999,1124.9
180689,2020,333.7,1761.2,1250.5
180689,2021,365.9,1674.4,1206.3
180738,2016,467.44,1633.36,1185.66
180738,2017,710.0699999999999,1572.79,1145.68
180738,2018,626.49,1591.64,1160.6399999999999
180738,2019,539.45,1525.67,1119.6100000000001
180738,2020,391.34000000000003,1742.8,1241.65
180738,2021,458.63,1663.1,1201.3
180778,2016,385.14,1638.67,1187.44
180778,2017,657.53,1573.1599999999999,1144.48
180778,2018,664.03,1605.68,1167.44
180778,2019,564.7,1537.28,1125.26
180778,2020,327.02000000000004,1762.32,1251.58
180778,2021,355.25,1675.6,1207.26
180850,2016,389.71,1638.82,1187.49
180850,2017,671.8,1573.2,1144.3999999999999
180850,2018,668.4,1605,1166.8
180850,2019,564.7,1536.3999999999999,1124.9
180850,2020,333.7,1761.2,1250.5
180850,2021,365.9,1674.4,1206.3
180886,2016,397.52,1647.45,1191.19
180886,2017,618.5699999999999,1584.29,1149.77
180886,2018,623.1,1616.25,1171.91
180886,2019,571.09,1540.9099999999999,1126.09
180886,2020,301.32,1773,1256.89
180886,2021,351.78999999999996,1683.09,1210.42
347501,2016,566.12,1632.82,1184.2
347501,2017,615.4,1584.2,1149.8
347501,2018,547.1,1555.4,1137.3
347501,2019,650,1545.3999999999999,1130.6
347501,2020,290.7,1733.5,1234.2
347501,2021,380.6,1648,1190
347502,2016,544.88,1569.01,1148.33
347502,2017,607.1,1551.8,1132.5
347502,2018,528.5,1501.1,1107
347502,2019,582.6,1455.5,1079.8
347502,2020,315.7,1691.8,1211.3
347502,2021,382.40000000000003,1621.8,1176.5
347503,2016,444.17,1663.92,1201.22
347503,2017,680,1592.5,1155
347503,2018,626.3,1596.9,1161.1
347503,2019,598.5,1545.9,1128.6
347503,2020,308.8,1755.3999999999999,1246.1
347503,2021,441.1,1664.6,1199.1
347504,2016,505.06,1596.85,1163.6
347504,2017,638.1,1552.5,1132.8
347504,2018,461.5,1534,1124.9
347504,2019,681.8,1484.3,1094.1
347504,2020,297.7,1714,1223.1
347504,2021,408.8,1626.9,1178.4
347505,2016,481.72,1611.36,1171.29
347505,2017,623.9,1557.8700000000001,1136.49
347505,2018,483.03999999999996,1555.01,1136.93
347505,2019,687.3199999999999,1499,1102.56
347505,2020,276.49,1727.46,1230.42
347505,2021,401.35,1635.24,1183.42
347506,2016,425.12,1653.51,1195.31
347506,2017,679.8,1587.6,1151.7
347506,2018,636.4,1601.1,1164.1
347506,2019,589.7,1538.3,1123.8
347506,2020,320.3,1760,1249
347506,2021,451.3,1670.9,1202.2
347507,2016,603.1,1583.35,1156.3
347507,2017,609.9,1574.6,1145.7
347507,2018,523.4,1506,1110.4
347507,2019,633.6,1471.3,1088.7
347507,2020,301.09999999999997,1697.6,1214.1
347507,2021,339.5,1632.2,1182.6
347508,2016,525.77,1575.83,1151.97
347508,2017,629.5600000000001,1547.03,1130.19
347508,2018,496.25,1510.48,1112.26
347508,2019,635.1,1466,1085.4
347508,2020,311.86,1700.89,1216.35
347508,2021,387.25,1620.65,1176.3600000000001
347509,2016,605.64,1598.2,1165.28
347509,2017,626.4,1603.4,1163.1
347509,2018,603.3,1513.1,1114.4
347509,2019,690.8,1496.1,1102.3
347509,2020,360.9,1705.2,1219
347509,2021,394.7,1643.5,1189.2
347510,2016,554.25,1629.74,1182.93
347510,2017,621.1,1589.1,1153.6
347510,2018,624.7,1547.2,1132.2
347510,2019,611.9,1549.3,1134.1
347510,2020,334.5,1733.2,1234.6
347510,2021,384.5,1653.2,1193.2
347512,2016,537.29,1567.33,1147.34
347512,2017,615.3,1544.7,1129.5
347512,2018,521.4,1499.8,1105.8
347512,2019,600.2,1455.8,1080.5
347512,2020,316.6,1692.8,1211.5
347512,2021,385.9,1616.9,1174.9
347513,2016,442.48,1661.31,1199.66
347513,2017,694.5,1590.5,1153.8
347513,2018,615.2,1598.1,1161.3
347513,2019,586.6,1542.6,1128
347513,2020,317.1,1757,1246.6
347513,2021,454.09999999999997,1664.6000000000001,1199.9
347514,2016,606.08,1595.3400000000001,1163.44
347514,2017,607.18,1581.48,1149.29
347514,2018,518.38,1517.63,1116.42
347514,2019,637.14,1487.02,1097.6100000000001
347514,2020,309.09000000000003,1707.6599999999999,1220.42
347514,2021,332.66,1639.01,1186.26
347515,2016,389.71,1638.82,1187.49
347515,2017,671.8,1573.2,1144.3999999999999
347515,2018,668.4,1605,1166.8
347515,2019,564.7,1536.3999999999999,1124.9
347515,2020,333.7,1761.2,1250.5
347515,2021,365.9,1674.4,1206.3
347516,2016,528.38,1567.02,1147.06
347516,2017,627.8000000000001,1541.6000000000001,1127.1
347516,2018,509.6,1501.6,1107.6
347516,2019,634.9,1457,1080.9
347516,2020,310.8,1695,1213.5
347516,2021,388.6,1617.6,1174.2
347517,2016,495.69,1579.42,1153.47
347517,2017,649.3,1541.4,1126.3
347517,2018,476.3,1520.3,1118.2
347517,2019,672.3,1470.6,1087.2
347517,2020,312.8,1704.5,1218.2
347517,2021,393.29999999999995,1618.5,1173.8
347518,2016,588.65,1583.3600000000001,1156.3
347518,2017,635.6,1569.4,1142.4
347518,2018,540.5,1506.9,1110.3
347518,2019,619.2,1469.6,1087.3
347518,2020,299,1699.4,1214.9
347518,2021,340.3,1630.4,1182
347519,2016,471.62,1626.6200000000001,1179.6100000000001
347519,2017,639.3,1569.2,1141.2
347519,2018,528.9,1567.7,1144.3
347519,2019,700.4,1512.2,1109.5
347519,2020,275.7,1735.5,1234.7
347519,2021,426.3,1642,1186
347521,2016,442.48,1661.31,1199.66
347521,2017,694.5,1590.5,1153.8
347521,2018,615.2,1598.1,1161.3
347521,2019,586.6,1542.6,1128
347521,2020,317.1,1757,1246.6
347521,2021,454.09999999999997,1664.6000000000001,1199.9
347522,2016,534.77,1580.33,1154.96
347522,2017,627.7,1555.2,1135
347522,2018,517.7,1509.2,1111.3
347522,2019,613.3,1470.5,1087.5
347522,2020,299.8,1700.2,1216.8
347522,2021,359.1,1624.7,1178.6
347523,2016,599.32,1599.21,1165.93
347523,2017,602.7,1594.9,1156.7
347523,2018,586.8,1517.2,1116.5
347523,2019,696.4,1497.2,1103.2
347523,2020,349.8,1706.3,1219.1
347523,2021,381.1,1640.3,1186.9
347524,2016,528.56,1620.83,1177.45
347524,2017,645.8,1570.3,1142.8
347524,2018,503.5,1552,1135.8
347524,2019,662,1511.8,1110.1
347524,2020,291.4,1728.1,1231.6
347524,2021,384.9,1639.6,1187
347525,2016,598.5600000000001,1613.54,1174.5
347525,2017,606.7,1597.1,1158.7
347525,2018,642.5,1525.8,1121.9
347525,2019,630.3,1518.1,1117.3
347525,2020,359.2,1719.3,1226.6
347525,2021,382.5,1647.4,1191.6
347526,2016,593.73,1622.49,1178.98
347526,2017,612.4,1590.7,1154.4
347526,2018,590.2,1542.7,1130.2
347526,2019,640,1529.4,1122.5
347526,2020,311.9,1726.5,1231.3
347526,2021,368.3,1648.6000000000001,1192.1
347528,2016,566.12,1632.82,1184.2
347528,2017,615.4,1584.2,1149.8
347528,2018,547.1,1555.4,1137.3
347528,2019,650,1545.3999999999999,1130.6
347528,2020,290.7,1733.5,1234.2
347528,2021,380.6,1648,1190
347529,2016,510.77,1620.06,1176.75
347529,2017,647.2,1573.1,1144.3
347529,2018,493.6,1557.2,1139.1
347529,2019,676.3000000000001,1511.3,1110.6000000000001
347529,2020,282.3,1731.7,1233.7
347529,2021,404,1642.1,1187.4
347530,2016,573.79,1620.39,1177.58
347530,2017,605.5,1595.9,1157.4
347530,2018,670.7,1539.8999999999999,1129.3
347530,2019,604.1,1520.9,1117.6
347530,2020,362.2,1726.2,1230.7
347530,2021,385.29999999999995,1652.3,1193.3
347531,2016,589.3,1582.66,1155.88
347531,2017,562.6,1579.1,1147.9
347531,2018,502.5,1502.4,1106.5
347531,2019,649.5,1470.8,1088.1
347531,2020,302,1695.9,1212.6
347531,2021,335.1,1634.1,1184
347534,2016,453.38,1651.98,1195.23
347534,2017,695.73,1587.25,1152.59
