UID,WaterYear,precip_mm,ETr_mm,ETo_mm
177799,2016,432.65999999999997,1803.2,1293.96
177799,2017,675.44,2198.28,1541.19
177799,2018,634.86,2188.22,1537.98
177799,2019,809.54,1837.06,1326.82
177799,2020,425.7,2241.78,1562.18
177799,2021,474.19,2204.7,1541.7
177799,2022,20.34,418.72,265.1
177806,2016,425.09000000000003,1802.19,1293.93
177806,2017,681.33,2194.75,1539.47
177806,2018,648.3,2186.3,1537.9
177806,2019,805.9,1835.1,1326.3
177806,2020,431.4,2240.1,1561.7
177806,2021,467.2,2202.5,1541.1
177806,2022,20.5,417.4,264.5
178579,2016,500.21,1786.58,1287.17
178579,2017,743.81,2175.43,1530.83
178579,2018,690.1,2156.1,1523.6
178579,2019,778,1809.3999999999999,1313.7
178579,2020,528.2,2204.8,1543.3
178579,2021,568.9,2175.4,1527.7
178579,2022,20.700000000000003,405.7,258
179074,2016,504.93,1785.9299999999998,1286.91
179074,2017,740.89,2174.6,1530.3799999999999
179074,2018,682.79,2155.55,1523.21
179074,2019,775.89,1808.65,1313.41
179074,2020,529.45,2204.26,1543.19
179074,2021,571.37,2174.94,1527.54
179074,2022,21,405.67,257.94
179231,2016,425.09000000000003,1802.19,1293.93
179231,2017,681.33,2194.75,1539.47
179231,2018,648.3,2186.3,1537.9
179231,2019,805.9,1835.1,1326.3
179231,2020,431.4,2240.1,1561.7
179231,2021,467.2,2202.5,1541.1
179231,2022,20.5,417.4,264.5
179390,2016,416.89,1792.75,1289.49
179390,2017,699.4,2180.45,1532.46
179390,2018,667.79,2174.7400000000002,1531.76
179390,2019,803.87,1825.1499999999999,1322.05
179390,2020,450.42,2228.29,1556.18
179390,2021,466.03000000000003,2193.33,1537.35
179390,2022,21.650000000000002,413.22,261.8
179888,2016,425.09000000000003,1802.19,1293.93
179888,2017,681.33,2194.75,1539.47
179888,2018,648.3,2186.3,1537.9
179888,2019,805.9,1835.1,1326.3
179888,2020,431.4,2240.1,1561.7
179888,2021,467.2,2202.5,1541.1
179888,2022,20.5,417.4,264.5
180429,2016,428.02,1792.95,1289.48
180429,2017,718.55,2180.43,1531.17
180429,2018,690.6999999999999,2171.2,1529.6
180429,2019,806.5,1824.5,1321.4
180429,2020,464.8,2224.5,1553.3
180429,2021,486.1,2191,1535.5
180429,2022,21.400000000000002,411.3,261
180655,2016,428.02,1792.95,1289.48
180655,2017,718.55,2180.43,1531.17
180655,2018,690.6999999999999,2171.2,1529.6
180655,2019,806.5,1824.5,1321.4
180655,2020,464.8,2224.5,1553.3
180655,2021,486.1,2191,1535.5
180655,2022,21.400000000000002,411.3,261
180689,2016,428.02,1792.95,1289.48
180689,2017,718.55,2180.43,1531.17
180689,2018,690.6999999999999,2171.2,1529.6
180689,2019,806.5,1824.5,1321.4
180689,2020,464.8,2224.5,1553.3
180689,2021,486.1,2191,1535.5
180689,2022,21.400000000000002,411.3,261
180738,2016,510.48,1785.3,1286.4
180738,2017,737.42,2173.56,1529.6299999999999
180738,2018,674.23,2154.69,1522.55
180738,2019,773.53,1807.33,1312.8
180738,2020,530.99,2203.48,1542.91
180738,2021,574.34,2174.04,1527.16
180738,2022,21.36,405.64,257.82
180778,2016,422.85,1792.98,1289.45
180778,2017,709.59,2180.39,1531.85
180778,2018,679.98,2172.96,1530.68
180778,2019,805.25,1824.82,1321.72
180778,2020,458.08000000000004,2226.38,1554.74
180778,2021,476.74,2192.16,1536.42
180778,2022,21.520000000000003,412.26,261.4
180850,2016,428.02,1792.95,1289.48
180850,2017,718.55,2180.43,1531.17
180850,2018,690.6999999999999,2171.2,1529.6
180850,2019,806.5,1824.5,1321.4
180850,2020,464.8,2224.5,1553.3
180850,2021,486.1,2191,1535.5
180850,2022,21.400000000000002,411.3,261
180886,2016,432.98,1803.27,1294
180886,2017,674.22,2198.54,1541.23
180886,2018,632.97,2188.49,1538.1100000000001
180886,2019,808.5600000000001,1837.1299999999999,1326.8700000000001
180886,2020,426,2242.09,1562.27
180886,2021,474.46999999999997,2204.98,1541.72
180886,2022,20.32,418.86,265.15999999999997
347501,2016,607.1,1786.15,1285.65
347501,2017,641.65,2184,1532.97
347501,2018,575.5,2108.4,1492.5
347501,2019,886.6,1827.5,1323.5
347501,2020,440.4,2185.4,1529.3999999999999
347501,2021,511.1,2159.3,1516.1
347501,2022,21.900000000000002,397.90000000000003,252.60000000000002
347502,2016,583.4399999999999,1718.6000000000001,1247.84
347502,2017,628.3100000000001,2108.37,1489.83
347502,2018,586.8,2010.8999999999999,1435.6
347502,2019,825.5,1728,1267.4
347502,2020,461.09999999999997,2121.3,1493
347502,2021,501.7,2114.8,1491
347502,2022,25.2,383.6,244.1
347503,2016,487.87,1817.3799999999999,1302.69
347503,2017,703.81,2209.02,1547.72
347503,2018,671.1,2167.6,1526.2
347503,2019,841.2,1844.9,1332.2
347503,2020,446.4,2218.7999999999997,1547.4
347503,2021,550.9,2187.8,1532.5
347503,2022,19.5,410.9,260.2
347504,2016,544.77,1749.58,1264.77
347504,2017,666.35,2132.2599999999998,1503.38
347504,2018,507,2067.3,1468.8
347504,2019,913.9,1770.5,1289.3
347504,2020,434.2,2157.6,1513.3999999999999
347504,2021,526,2130.8,1499.8
347504,2022,23.6,396.6,251.9
347505,2016,521.64,1765.1,1272.97
347505,2017,660.8,2145.64,1511.92
347505,2018,522.34,2098,1485.98
347505,2019,911.99,1787.56,1300.16
347505,2020,402.47,2175.06,1522.58
347505,2021,514.84,2143.53,1507.01
347505,2022,21.31,400.71999999999997,254.45
347506,2016,466.56,1807.95,1297.26
347506,2017,721.78,2199.57,1541.52
347506,2018,665.6,2169.1,1527.9
347506,2019,828.8,1833.5,1324.8
347506,2020,454.3,2223,1551.2
347506,2021,563.6,2193.5,1534.4
347506,2022,18.8,413.6,261.9
347507,2016,640.98,1732.42,1255.4
347507,2017,626.54,2138.47,1507.23
347507,2018,563.4,2025.9,1445.3
347507,2019,872.1,1744.9,1276.9
347507,2020,437.7,2130.7,1498
347507,2021,464.9,2128.8,1500.4
347507,2022,23.3,388.7,247.2
347508,2016,561.04,1725.17,1251.17
347508,2017,657.57,2110.04,1491.29
347508,2018,547.65,2025.67,1445.07
347508,2019,871.41,1742.41,1275.58
347508,2020,455.76,2135.38,1501.75
347508,2021,507.65999999999997,2115.9700000000003,1492.31
347508,2022,25.400000000000002,388.12,246.84
347509,2016,644,1749.16,1265.37
347509,2017,640.93,2174.72,1529.8
347509,2018,640.1999999999999,2052,1460.6
347509,2019,911.9,1772.2,1292.1000000000001
347509,2020,480.4,2137.7,1502.4
347509,2021,509.7,2148.3,1511.4
347509,2022,27.799999999999997,389.8,247.9
347510,2016,595.96,1782.7,1284.1299999999999
347510,2017,642.54,2187.5,1535.6399999999999
347510,2018,662,2101.8,1488.5
347510,2019,857.4,1824.3,1322.9
347510,2020,474.7,2188,1531.3
347510,2021,516.4,2165.8,1519.3
347510,2022,29.5,399.2,253.2
347512,2016,549.63,1717.44,1247.08
347512,2017,640.85,2101.49,1486.89
347512,2018,576.4,2010.2,1435.1
347512,2019,841.2,1729.6,1268.7
347512,2020,463.4,2123.7,1494.8
347512,2021,507.9,2109.7,1489.1
347512,2022,25.4,384.2,244.8
347513,2016,486.51,1815.54,1301.57
347513,2017,722.7,2205.16,1544.66
347513,2018,659.4,2168.6,1526.2
347513,2019,828,1842.2,1331.1
347513,2020,455.6,2220.9,1548.6
347513,2021,564.9,2188.9,1533
347513,2022,19.1,411,260.6
347514,2016,644.21,1744.03,1262.3
347514,2017,629.41,2150.78,1514.66
347514,2018,550.65,2043.1100000000001,1454.35
347514,2019,873.61,1760.76,1286.3
347514,2020,449.04,2142.15,1505.2
347514,2021,460.03000000000003,2137.73,1505.09
347514,2022,23.619999999999997,391.24,248.48000000000002
347515,2016,428.02,1792.95,1289.48
347515,2017,718.55,2180.43,1531.17
347515,2018,690.6999999999999,2171.2,1529.6
347515,2019,806.5,1824.5,1321.4
347515,2020,464.8,2224.5,1553.3
347515,2021,486.1,2191,1535.5
347515,2022,21.400000000000002,411.3,261
347516,2016,567.12,1716.95,1246.6
347516,2017,667.14,2098.52,1484.69
347516,2018,552.7,2012.7,1438.1
347516,2019,875.6,1731.6,1269.3
347516,2020,455.2,2125.8,1496.6
347516,2021,509,2109.8,1488.3
347516,2022,26.5,384.6,245.1
347517,2016,534.98,1728.6,1252.54
347517,2017,696.83,2111.29,1491.45
347517,2018,512.4,2041.6,1454.3
347517,2019,904.5,1751.1,1279
347517,2020,449.90000000000003,2141.3,1504.6
347517,2021,508,2114.1,1490.9
347517,2022,26.2,390.7,248.10000000000002
347518,2016,626.97,1731.65,1254.94
347518,2017,649.0699999999999,2135.16,1505.48
347518,2018,590.6999999999999,2025.8,1444.6
347518,2019,860,1743.3,1275.4
347518,2020,438.8,2134.3,1500
347518,2021,462,2127.1,1498.8
347518,2022,26.3,387.5,246.39999999999998
347519,2016,512.2900000000001,1780.77,1281.51
347519,2017,677.09,2164.55,1521.65
347519,2018,562.6,2119.1,1497.2
347519,2019,926.5,1806.2,1309.5
347519,2020,402.9,2183.8,1527.8
347519,2021,538.5,2156,1513.2
347519,2022,20,403.5,256.1
347521,2016,486.51,1815.54,1301.57
347521,2017,722.7,2205.16,1544.66
347521,2018,659.4,2168.6,1526.2
347521,2019,828,1842.2,1331.1
347521,2020,455.6,2220.9,1548.6
347521,2021,564.9,2188.9,1533
347521,2022,19.1,411,260.6
347522,2016,574.3100000000001,1729.57,1254.1100000000001
347522,2017,644.35,2120.58,1498.38
347522,2018,577.7,2027.7,1445.4
347522,2019,850.6,1746.2,1276.4
347522,2020,443.5,2134.3,1501.6000000000001
347522,2021,481.7,2121.9,1495.7
347522,2022,24.9,387.9,246.5
347523,2016,640.07,1749.71,1265.72
347523,2017,620.33,2167.8,1523.78
347523,2018,627.4,2054.7,1462.9
347523,2019,930.4,1772.9,1292.3
347523,2020,479.6,2139.7,1503
347523,2021,503.9,2142.2,1507.6000000000001
347523,2022,28.5,390.5,248.39999999999998
347524,2016,568.32,1774.9,1279.41
347524,2017,676.03,2159.52,1519.33
347524,2018,536.1,2094.1,1484.4
347524,2019,888.9,1796.2,1305.5
347524,2020,427.5,2171.6,1521.2
347524,2021,503.09999999999997,2147,1510.3
347524,2022,20.5,395.6,250.5
347525,2016,641.21,1763.19,1273.79
347525,2017,645.25,2179.83,1531.6200000000001
347525,2018,662.2,2070.9,1471.7
347525,2019,870.4,1789.3,1304
347525,2020,485.6,2158.5,1515.4
347525,2021,521.7,2152.8,1513.1000000000001
347525,2022,25.7,392.7,249.9
347526,2016,635.13,1775.33,1280.2
347526,2017,629.21,2182.3,1533.19
347526,2018,627,2091.5,1483.2
347526,2019,884.9,1806.9,1312.7
347526,2020,455.9,2173.2,1523.9
347526,2021,502.9,2157.4,1516.6
347526,2022,27.5,395.6,251.3
347528,2016,607.1,1786.15,1285.65
347528,2017,641.65,2184,1532.97
347528,2018,575.5,2108.4,1492.5
347528,2019,886.6,1827.5,1323.5
347528,2020,440.4,2185.4,1529.3999999999999
347528,2021,511.1,2159.3,1516.1
347528,2022,21.900000000000002,397.90000000000003,252.60000000000002
347529,2016,550.97,1774.1,1278.67
347529,2017,680.23,2162.62,1521.06
347529,2018,526.7,2101.6,1487.8
347529,2019,905.5,1801.3,1309.1000000000001
347529,2020,413.3,2178.5,1525.1000000000001
347529,2021,518.6,2153.1,1513.2
347529,2022,20.2,398.5,252.89999999999998
347530,2016,615.9300000000001,1770.92,1277.4
347530,2017,654.91,2186.62,1535.39
347530,2018,673.8,2095.7,1484.8
347530,2019,851.7,1792.2,1304.5
347530,2020,493.40000000000003,2172.5,1523.4
347530,2021,523.8,2161.1,1516.8
347530,2022,26.2,397.6,252.8
347531,2016,626.96,1732.42,1255.33
347531,2017,585.97,2142.01,1509.64
347531,2018,536.1,2024.9,1442.8
347531,2019,884.6999999999999,1742.5,1275
347531,2020,436.8,2124.8,1494.3
347531,2021,459.5,2130.5,1501.4
347531,2022,23.9,386.2,245.5
347534,2016,498.1,1805.03,1296.53
347534,2017,727.1,2197,1541.49
347534,2018,633.02,2158.69,1521.72
347534,2019,828.2,1830.66,1325.85
347534,2020,464.28,2211.16,1544.5900000000001
347534,2021,581.32,2182.57,1530.78
347534,2022,20.82,407.32,258.6
347535,2016,592.4,1785.43,1285.75
347535,2017,671.29,2195.45,1539.18
347535,2018,669.5,2114.5,1494.8
347535,2019,858.9,1810.6,1314
347535,2020,493.1,2190.2,1532.6
347535,2021,529.4,2171.5,1524.1
347535,2022,28.400000000000002,400.20000000000005,253.7
347536,2016,548.4,1749.3,1264.84
347536,2017,667.98,2130.42,1503.31
347536,2018,521.5,2064.18,1466.96
347536,2019,897.98,1767.95,1289.06
347536,2020,434.37,2153.77,1512.28
347536,2021,520.1600000000001,2130.73,1499.32
347536,2022,22.7,394.6,250.7
347537,2016,621.92,1742.97,1261.87
347537,2017,590.6700000000001,2158.5699999999997,1519.29
347537,2018,582.2,2043.8,1454.7
347537,2019,885.5,1761.3,1286
347537,2020,461.8,2131.3,1499.2
347537,2021,474.90000000000003,2135.5,1503.8
347537,2022,27.599999999999998,386.5,246.3
347539,2016,620.77,1772.79,1279.01
347539,2017,646.0600000000001,2182.18,1533.24
347539,2018,661.8,2091.8,1483.4
