Year,TotalIrrigation_m3
1990,45300056.54412124
1991,46359802.766876064
1992,21976813.436528742
1993,16610260.767062359
1994,36646612.299561255
1995,36568028.18301382
1996,29697095.70383399
1997,28321788.790534846
1998,27615391.966605943
1999,24684318.688192714
2000,37606888.197233155
2001,33916283.74526639
2002,41590095.22988092
2003,38937325.82637354
2004,38055018.46568753
2005,32829046.300850168
2006,30751930.772514023
2007,34179255.29073132
2008,32176345.19028398
2009,25586651.48728185
2010,30926140.139967687
2011,30130988.07566487
2012,38973070.68239001
2013,22791794.801907055
2014,23136964.43086814
2015,19286361.83552159
2016,21694021.849177606
2017,16563853.868872449
2018,18452404.171820298
2019,12370486.480898857
2020,26021919.431249723
