Year,Algorithm,irr_m3_fromPrec_total,irr_m3_fromPrec_shifted_total,irr_m3_fromPrec_shifted_scaled_total,n_fields,Irr_m3_WIMAS
2016,disalexi,7458433.009218945,31064460.42281601,32062778.24494916,458,23654075.23443979
2016,eemetric,35701658.86430012,40321254.3436677,32640710.760512307,458,23654075.23443979
2016,ensemble,26582296.772828396,36398760.34141116,32539003.953899786,458,23654075.23443979
2016,geesebal,13329201.766995233,34038910.04286182,32307254.90534378,458,23654075.23443979
2016,ptjpl,21329634.62236496,34208753.95302941,31987831.957766406,458,23654075.23443979
2016,sims,40820749.92948558,35957608.872158185,31780405.296314444,458,23654075.23443979
2016,ssebop,42048776.50941523,39211268.85581443,32868242.256501533,458,23654075.23443979
2017,disalexi,1228935.7384622407,19254009.332808316,30492525.68102563,410,18518428.443049703
2017,eemetric,12829391.037459474,17068921.732114207,30682653.63380168,410,18518428.443049703
2017,ensemble,9098678.24259438,18111938.27962749,30392715.249789976,410,18518428.443049703
2017,geesebal,1469006.5716915694,16629642.023051223,30625876.128773116,410,18518428.443049703
2017,ptjpl,6535025.502728909,18298087.771166224,30363582.714165926,410,18518428.443049703
2017,sims,24758641.095550153,20174063.07644418,30002622.532984987,410,18518428.443049703
2017,ssebop,19053499.384176355,16432895.489802686,30582036.78840164,410,18518428.443049703
2018,disalexi,13533038.514495628,39165470.32889177,34128239.544049695,548,20589757.188864265
2018,eemetric,29040239.825076703,33854167.57065367,34359036.160797834,548,20589757.188864265
2018,ensemble,24630480.75551854,34859943.321498804,34454382.97790574,548,20589757.188864265
2018,geesebal,14356977.87045587,35977905.40718028,34261342.08995714,548,20589757.188864265
2018,ptjpl,18202695.227370135,31623823.540912487,34151500.918039665,548,20589757.188864265
2018,sims,35593157.268750295,30525413.773197908,34556365.01920411,548,20589757.188864265
2018,ssebop,40248784.09992959,37291896.60980645,34561968.767534256,548,20589757.188864265
2019,disalexi,183788.52690488272,15688754.71083695,31996694.96506289,515,13997836.430191347
2019,eemetric,9083237.180029249,13174457.543904163,32716577.603415072,515,13997836.430191347
2019,ensemble,3068627.6796378,10921193.630435223,32540501.544834174,515,13997836.430191347
2019,geesebal,20981.210236415554,9313467.747342212,32012204.29277587,515,13997836.430191347
2019,ptjpl,913716.4020819555,10182110.926102435,32246749.46153485,515,13997836.430191347
2019,sims,18847114.245984484,13992860.573954575,31870900.87156605,515,13997836.430191347
2019,ssebop,14993757.864602134,12355565.56797284,32597868.70637755,515,13997836.430191347
2020,disalexi,34197905.52003817,59962280.694769986,34516278.619046465,579,28599029.30124685
2020,eemetric,64800207.54274463,69624110.34606393,34692548.01762393,579,28599029.30124685
2020,ensemble,53836078.51895992,64086687.3306325,34634683.16184939,579,28599029.30124685
2020,geesebal,43950519.46918225,65709046.459782444,34763265.80616381,579,28599029.30124685
2020,ptjpl,49629379.83559154,63078252.17526973,34132652.470406756,579,28599029.30124685
2020,sims,63480678.29501455,58402458.80931397,33922940.3300994,579,28599029.30124685
2020,ssebop,70809648.47744878,67846648.53821628,35234103.42713628,579,28599029.30124685
