Year,Algorithm,irr_m3_fromPrec_total,irr_m3_fromPrec_shifted_total,irr_m3_fromPrec_shifted_scaled_total,n_fields,Irr_m3_WIMAS
2016,disalexi,10075541.159103602,23638857.256382722,32168243.589652468,458,23654075.23443979
2016,eemetric,39985501.80252402,30092905.66855449,32159066.032835845,458,23654075.23443979
2016,ensemble,31131506.3730327,28918868.495169878,32018350.171863645,458,23654075.23443979
2016,geesebal,18343868.469947718,29601768.053102203,32041764.702467833,458,23654075.23443979
2016,ptjpl,25007990.357402314,26904752.198234845,31563468.47801389,458,23654075.23443979
2016,sims,45801297.48478758,27607316.743406132,29999584.093471617,458,23654075.23443979
2016,ssebop,54984983.31258468,29044419.625127193,32811041.01738239,458,23654075.23443979
2017,disalexi,7021134.733398594,19562852.102109034,30523229.111609533,410,18518428.443049703
2017,eemetric,32689581.057196587,23376978.334149376,30674018.404574342,410,18518428.443049703
2017,ensemble,20529929.042678226,18449394.929917876,30537850.07981889,410,18518428.443049703
2017,geesebal,5939222.607280836,15707195.141639156,30819180.137323905,410,18518428.443049703
2017,ptjpl,16184977.854635574,17968356.269154426,30154482.141663834,410,18518428.443049703
2017,sims,37876943.51028032,20725134.066521984,27961417.349002525,410,18518428.443049703
2017,ssebop,48571982.02539695,24144724.272778843,31076558.157240294,410,18518428.443049703
2018,disalexi,26497153.316683818,41172456.43078609,33832114.45893153,548,20589757.188864265
2018,eemetric,50848540.50679469,40525674.95415119,34259886.33884242,548,20589757.188864265
2018,ensemble,39581608.996893786,37275701.41470715,34306126.806121096,548,20589757.188864265
2018,geesebal,26585644.28925548,38362319.703131825,34351675.40674755,548,20589757.188864265
2018,ptjpl,31336120.786357656,33312683.33475587,33949005.16727596,548,20589757.188864265
2018,sims,49774454.482015125,30815015.207388703,33115386.579476885,548,20589757.188864265
2018,ssebop,70324394.6284278,43277583.37190855,34449057.51400165,548,20589757.188864265
2019,disalexi,5263270.298855847,18205759.98422601,31938088.921309467,515,13997836.430191347
2019,eemetric,20873587.43199641,11475381.113550203,32834743.61721985,515,13997836.430191347
2019,ensemble,13401366.880123235,11281171.734306408,32342021.221613955,515,13997836.430191347
2019,geesebal,1108150.2176412076,7994979.850966628,31623964.14442243,515,13997836.430191347
2019,ptjpl,8723022.667279145,10514596.117494665,31683858.63083874,515,13997836.430191347
2019,sims,34167386.93142786,15983925.89248541,31665082.185024876,515,13997836.430191347
2019,ssebop,33174798.1060158,8316803.62794116,32919661.58664591,515,13997836.430191347
2020,disalexi,44447317.71812794,59152957.476336226,34732150.69598012,579,28599029.30124685
2020,eemetric,78303024.56970145,67958819.68961853,35090463.80299192,579,28599029.30124685
2020,ensemble,67364499.82776512,65053825.49581405,34441386.63221962,579,28599029.30124685
2020,geesebal,56529057.219618864,68330077.26256385,35039622.42553924,579,28599029.30124685
2020,ptjpl,63077341.35324559,65057989.83255221,33818553.01778656,579,28599029.30124685
2020,sims,78726816.88133362,59728184.83792743,33790720.95528253,579,28599029.30124685
2020,ssebop,96107146.70316836,69004424.54103361,34927678.39376591,579,28599029.30124685
