Algorithm,Bias_prc,MAE_mm,R2,slope,time
disalexi,14.7,145.63510790120938,0.165584248075912,0.47014517086380914,Annual
eemetric,53,222.54464309897398,0.15941576808502186,0.3261825782487001,Annual
ensemble,16.9,142.7505463282767,0.19957017123112517,0.5236278464319727,Annual
geesebal,-29.5,157.47284111953735,0.2109824536775622,0.5404399542504748,Annual
ptjpl,-0.9,139.6609746292772,0.11388637015147537,0.46981089329105186,Annual
sims,72.4,279.5646032924466,0.06152204028261219,0.27856920003521524,Annual
ssebop,16.7,144.34152555304397,0.24086493137075846,0.48963860411815563,Annual
disalexi,12.2,98.87449226288774,0.35674008376359656,0.8709499156653946,Average
eemetric,49.6,190.13185358146217,0.42422837468432717,0.7232752398424424,Average
ensemble,14.4,99.60374729968846,0.3990871794362361,0.9453402681047115,Average
geesebal,-31.3,123.92817748618221,0.37304009144055944,0.8908475977925512,Average
ptjpl,-3.3,101.64955880171138,0.1692745815691675,0.6494113504969226,Average
sims,68.2,258.99252047032246,0.12538173855728496,0.5138525419786193,Average
ssebop,14.4,89.84800211726844,0.5602428548342171,1.0560030090570118,Average
